2.58326e-03 2.52937e+09  -2.52909e+09 0.00000e+00 
2.61041e-03 2.63709e+09  -2.63680e+09 0.00000e+00 
2.63756e-03 2.74819e+09  -2.74790e+09 0.00000e+00 
2.66470e-03 2.86274e+09  -2.86245e+09 0.00000e+00 
2.69185e-03 2.98079e+09  -2.98049e+09 0.00000e+00 
2.71900e-03 3.10239e+09  -3.10208e+09 0.00000e+00 
2.74614e-03 3.22760e+09  -3.22729e+09 0.00000e+00 
2.77329e-03 3.35648e+09  -3.35616e+09 0.00000e+00 
2.80043e-03 3.48911e+09  -3.48878e+09 0.00000e+00 
2.82758e-03 3.62555e+09  -3.62521e+09 0.00000e+00 
2.85472e-03 3.76588e+09  -3.76554e+09 0.00000e+00 
2.88186e-03 3.91019e+09  -3.90985e+09 0.00000e+00 
2.90900e-03 4.05858e+09  -4.05823e+09 0.00000e+00 
2.93614e-03 4.21112e+09  -4.21077e+09 0.00000e+00 
2.96328e-03 4.36793e+09  -4.36756e+09 0.00000e+00 
2.99041e-03 4.52908e+09  -4.52871e+09 0.00000e+00 
3.01755e-03 4.69468e+09  -4.69430e+09 0.00000e+00 
3.04468e-03 4.86482e+09  -4.86443e+09 0.00000e+00 
3.07182e-03 5.03958e+09  -5.03919e+09 0.00000e+00 
3.09895e-03 5.21906e+09  -5.21867e+09 0.00000e+00 
3.12609e-03 5.40334e+09  -5.40294e+09 0.00000e+00 
3.15322e-03 5.59250e+09  -5.59209e+09 0.00000e+00 
3.18035e-03 5.78660e+09  -5.78618e+09 0.00000e+00 
3.20748e-03 5.98572e+09  -5.98530e+09 0.00000e+00 
3.23461e-03 6.18994e+09  -6.18950e+09 0.00000e+00 
3.26174e-03 6.39930e+09  -6.39886e+09 0.00000e+00 
3.28887e-03 6.61390e+09  -6.61345e+09 0.00000e+00 
3.31599e-03 6.83378e+09  -6.83333e+09 0.00000e+00 
3.34312e-03 7.05904e+09  -7.05857e+09 0.00000e+00 
3.37025e-03 7.28973e+09  -7.28926e+09 0.00000e+00 
3.39737e-03 7.52594e+09  -7.52547e+09 0.00000e+00 
3.42449e-03 7.76776e+09  -7.76728e+09 0.00000e+00 
3.45162e-03 8.01528e+09  -8.01479e+09 0.00000e+00 
3.47874e-03 8.26859e+09  -8.26809e+09 0.00000e+00 
3.50586e-03 8.52780e+09  -8.52729e+09 0.00000e+00 
3.53298e-03 8.79300e+09  -8.79249e+09 0.00000e+00 
3.56010e-03 9.06431e+09  -9.06379e+09 0.00000e+00 
3.58722e-03 9.34184e+09  -9.34131e+09 0.00000e+00 
3.61433e-03 9.62569e+09  -9.62515e+09 0.00000e+00 
3.64145e-03 9.91597e+09  -9.91543e+09 0.00000e+00 
3.66857e-03 1.02128e+10  -1.02122e+10 0.00000e+00 
3.69568e-03 1.05163e+10  -1.05157e+10 0.00000e+00 
3.72279e-03 1.08265e+10  -1.08259e+10 0.00000e+00 
3.74991e-03 1.11435e+10  -1.11429e+10 0.00000e+00 
3.77702e-03 1.14675e+10  -1.14669e+10 0.00000e+00 
3.80413e-03 1.17985e+10  -1.17979e+10 0.00000e+00 
3.83124e-03 1.21366e+10  -1.21359e+10 0.00000e+00 
3.85835e-03 1.24818e+10  -1.24812e+10 0.00000e+00 
3.88546e-03 1.28344e+10  -1.28338e+10 0.00000e+00 
3.91257e-03 1.31943e+10  -1.31937e+10 0.00000e+00 
3.93967e-03 1.35617e+10  -1.35610e+10 0.00000e+00 
3.96678e-03 1.39366e+10  -1.39359e+10 0.00000e+00 
3.99389e-03 1.43191e+10  -1.43184e+10 0.00000e+00 
4.02099e-03 1.47093e+10  -1.47087e+10 0.00000e+00 
4.04809e-03 1.51074e+10  -1.51067e+10 0.00000e+00 
4.07520e-03 1.55134e+10  -1.55127e+10 0.00000e+00 
4.10230e-03 1.59274e+10  -1.59268e+10 0.00000e+00 
4.12940e-03 1.63496e+10  -1.63490e+10 0.00000e+00 
4.15650e-03 1.67801e+10  -1.67794e+10 0.00000e+00 
4.18360e-03 1.72190e+10  -1.72183e+10 0.00000e+00 
4.21070e-03 1.76664e+10  -1.76657e+10 0.00000e+00 
4.23779e-03 1.81225e+10  -1.81217e+10 0.00000e+00 
4.26489e-03 1.85873e+10  -1.85865e+10 0.00000e+00 
4.29198e-03 1.90610e+10  -1.90602e+10 0.00000e+00 
4.31908e-03 1.95437e+10  -1.95429e+10 0.00000e+00 
4.34617e-03 2.00355e+10  -2.00347e+10 0.00000e+00 
4.37327e-03 2.05365e+10  -2.05357e+10 0.00000e+00 
4.40036e-03 2.10468e+10  -2.10460e+10 0.00000e+00 
4.42745e-03 2.15666e+10  -2.15658e+10 0.00000e+00 
4.45454e-03 2.20959e+10  -2.20951e+10 0.00000e+00 
4.48163e-03 2.26349e+10  -2.26340e+10 0.00000e+00 
4.50872e-03 2.31835e+10  -2.31827e+10 0.00000e+00 
4.53581e-03 2.37421e+10  -2.37412e+10 0.00000e+00 
4.56289e-03 2.43105e+10  -2.43097e+10 0.00000e+00 
4.58998e-03 2.48890e+10  -2.48882e+10 0.00000e+00 
4.61707e-03 2.54777e+10  -2.54768e+10 0.00000e+00 
4.64415e-03 2.60766e+10  -2.60757e+10 0.00000e+00 
4.67123e-03 2.66859e+10  -2.66851e+10 0.00000e+00 
4.69832e-03 2.73058e+10  -2.73049e+10 0.00000e+00 
4.72540e-03 2.79362e+10  -2.79353e+10 0.00000e+00 
4.75248e-03 2.85775e+10  -2.85766e+10 0.00000e+00 
4.77956e-03 2.92296e+10  -2.92287e+10 0.00000e+00 
4.80664e-03 2.98928e+10  -2.98918e+10 0.00000e+00 
4.83372e-03 3.05671e+10  -3.05661e+10 0.00000e+00 
4.86079e-03 3.12527e+10  -3.12517e+10 0.00000e+00 
4.88787e-03 3.19498e+10  -3.19488e+10 0.00000e+00 
4.91494e-03 3.26584e+10  -3.26574e+10 0.00000e+00 
4.94202e-03 3.33787e+10  -3.33777e+10 0.00000e+00 
4.96909e-03 3.41108e+10  -3.41098e+10 0.00000e+00 
4.99617e-03 3.48549e+10  -3.48539e+10 0.00000e+00 
5.02324e-03 3.56110e+10  -3.56100e+10 0.00000e+00 
5.05031e-03 3.63793e+10  -3.63783e+10 0.00000e+00 
5.07738e-03 3.71599e+10  -3.71589e+10 0.00000e+00 
5.10445e-03 3.79529e+10  -3.79519e+10 0.00000e+00 
5.13152e-03 3.87585e+10  -3.87574e+10 0.00000e+00 
5.15859e-03 3.95767e+10  -3.95756e+10 0.00000e+00 
5.18565e-03 4.04076e+10  -4.04066e+10 0.00000e+00 
5.21272e-03 4.12515e+10  -4.12504e+10 0.00000e+00 
5.23979e-03 4.21084e+10  -4.21073e+10 0.00000e+00 
5.26685e-03 4.29784e+10  -4.29773e+10 0.00000e+00 
5.29391e-03 4.38618e+10  -4.38606e+10 0.00000e+00 
5.32098e-03 4.47585e+10  -4.47574e+10 0.00000e+00 
5.34804e-03 4.56688e+10  -4.56677e+10 0.00000e+00 
5.37510e-03 4.65928e+10  -4.65916e+10 0.00000e+00 
5.40216e-03 4.75307e+10  -4.75295e+10 0.00000e+00 
5.42922e-03 4.84825e+10  -4.84813e+10 0.00000e+00 
5.45628e-03 4.94485e+10  -4.94473e+10 0.00000e+00 
5.48333e-03 5.04288e+10  -5.04276e+10 0.00000e+00 
5.51039e-03 5.14235e+10  -5.14222e+10 0.00000e+00 
5.53745e-03 5.24327e+10  -5.24315e+10 0.00000e+00 
5.56450e-03 5.34567e+10  -5.34555e+10 0.00000e+00 
5.59156e-03 5.44955e+10  -5.44943e+10 0.00000e+00 
5.61861e-03 5.55494e+10  -5.55481e+10 0.00000e+00 
5.64566e-03 5.66183e+10  -5.66170e+10 0.00000e+00 
5.67271e-03 5.77025e+10  -5.77012e+10 0.00000e+00 
5.69976e-03 5.88021e+10  -5.88008e+10 0.00000e+00 
5.72681e-03 5.99172e+10  -5.99159e+10 0.00000e+00 
5.75386e-03 6.10480e+10  -6.10467e+10 0.00000e+00 
5.78091e-03 6.21946e+10  -6.21932e+10 0.00000e+00 
5.80796e-03 6.33571e+10  -6.33557e+10 0.00000e+00 
5.83500e-03 6.45356e+10  -6.45342e+10 0.00000e+00 
5.86205e-03 6.57304e+10  -6.57290e+10 0.00000e+00 
5.88909e-03 6.69415e+10  -6.69401e+10 0.00000e+00 
5.91614e-03 6.81692e+10  -6.81678e+10 0.00000e+00 
5.94318e-03 6.94135e+10  -6.94120e+10 0.00000e+00 
5.97022e-03 7.06746e+10  -7.06731e+10 0.00000e+00 
5.99726e-03 7.19526e+10  -7.19512e+10 0.00000e+00 
6.02430e-03 7.32478e+10  -7.32463e+10 0.00000e+00 
6.05134e-03 7.45603e+10  -7.45588e+10 0.00000e+00 
6.07838e-03 7.58901e+10  -7.58887e+10 0.00000e+00 
6.10542e-03 7.72376e+10  -7.72361e+10 0.00000e+00 
6.13246e-03 7.86028e+10  -7.86013e+10 0.00000e+00 
6.15949e-03 7.99860e+10  -7.99845e+10 0.00000e+00 
6.18653e-03 8.13872e+10  -8.13856e+10 0.00000e+00 
6.21356e-03 8.28066e+10  -8.28050e+10 0.00000e+00 
6.24059e-03 8.42443e+10  -8.42427e+10 0.00000e+00 
6.26763e-03 8.57006e+10  -8.56990e+10 0.00000e+00 
6.29466e-03 8.71755e+10  -8.71739e+10 0.00000e+00 
6.32169e-03 8.86692e+10  -8.86676e+10 0.00000e+00 
6.34872e-03 9.01819e+10  -9.01802e+10 0.00000e+00 
6.37575e-03 9.17136e+10  -9.17120e+10 0.00000e+00 
6.40278e-03 9.32647e+10  -9.32630e+10 0.00000e+00 
6.42980e-03 9.48351e+10  -9.48334e+10 0.00000e+00 
6.45683e-03 9.64251e+10  -9.64234e+10 0.00000e+00 
6.48386e-03 9.80348e+10  -9.80331e+10 0.00000e+00 
6.51088e-03 9.96644e+10  -9.96627e+10 0.00000e+00 
6.53790e-03 1.01314e+11  -1.01312e+11 0.00000e+00 
6.56493e-03 1.02984e+11  -1.02982e+11 0.00000e+00 
6.59195e-03 1.04674e+11  -1.04672e+11 0.00000e+00 
6.61897e-03 1.06385e+11  -1.06383e+11 0.00000e+00 
6.64599e-03 1.08116e+11  -1.08115e+11 0.00000e+00 
6.67301e-03 1.09869e+11  -1.09867e+11 0.00000e+00 
6.70003e-03 1.11642e+11  -1.11640e+11 0.00000e+00 
6.72705e-03 1.13437e+11  -1.13435e+11 0.00000e+00 
6.75407e-03 1.15252e+11  -1.15251e+11 0.00000e+00 
6.78108e-03 1.17090e+11  -1.17088e+11 0.00000e+00 
6.80810e-03 1.18949e+11  -1.18947e+11 0.00000e+00 
6.83511e-03 1.20830e+11  -1.20828e+11 0.00000e+00 
6.86213e-03 1.22733e+11  -1.22732e+11 0.00000e+00 
6.88914e-03 1.24659e+11  -1.24657e+11 0.00000e+00 
6.91615e-03 1.26606e+11  -1.26605e+11 0.00000e+00 
6.94316e-03 1.28577e+11  -1.28575e+11 0.00000e+00 
6.97017e-03 1.30570e+11  -1.30568e+11 0.00000e+00 
6.99718e-03 1.32585e+11  -1.32583e+11 0.00000e+00 
7.02419e-03 1.34624e+11  -1.34622e+11 0.00000e+00 
7.05120e-03 1.36686e+11  -1.36684e+11 0.00000e+00 
7.07820e-03 1.38772e+11  -1.38770e+11 0.00000e+00 
7.10521e-03 1.40880e+11  -1.40878e+11 0.00000e+00 
7.13221e-03 1.43013e+11  -1.43011e+11 0.00000e+00 
7.15922e-03 1.45170e+11  -1.45168e+11 0.00000e+00 
7.18622e-03 1.47350e+11  -1.47348e+11 0.00000e+00 
7.21323e-03 1.49555e+11  -1.49553e+11 0.00000e+00 
7.24023e-03 1.51784e+11  -1.51782e+11 0.00000e+00 
7.26723e-03 1.54038e+11  -1.54036e+11 0.00000e+00 
7.29423e-03 1.56317e+11  -1.56314e+11 0.00000e+00 
7.32123e-03 1.58620e+11  -1.58618e+11 0.00000e+00 
7.34822e-03 1.60949e+11  -1.60947e+11 0.00000e+00 
7.37522e-03 1.63303e+11  -1.63301e+11 0.00000e+00 
7.40222e-03 1.65682e+11  -1.65680e+11 0.00000e+00 
7.42921e-03 1.68087e+11  -1.68085e+11 0.00000e+00 
7.45621e-03 1.70518e+11  -1.70516e+11 0.00000e+00 
7.48320e-03 1.72975e+11  -1.72973e+11 0.00000e+00 
7.51020e-03 1.75459e+11  -1.75456e+11 0.00000e+00 
7.53719e-03 1.77968e+11  -1.77966e+11 0.00000e+00 
7.56418e-03 1.80505e+11  -1.80502e+11 0.00000e+00 
7.59117e-03 1.83068e+11  -1.83065e+11 0.00000e+00 
7.61816e-03 1.85657e+11  -1.85655e+11 0.00000e+00 
7.64515e-03 1.88274e+11  -1.88272e+11 0.00000e+00 
7.67214e-03 1.90919e+11  -1.90916e+11 0.00000e+00 
7.69912e-03 1.93590e+11  -1.93588e+11 0.00000e+00 
7.72611e-03 1.96290e+11  -1.96287e+11 0.00000e+00 
7.75310e-03 1.99017e+11  -1.99015e+11 0.00000e+00 
7.78008e-03 2.01772e+11  -2.01770e+11 0.00000e+00 
7.80706e-03 2.04556e+11  -2.04553e+11 0.00000e+00 
7.83405e-03 2.07367e+11  -2.07365e+11 0.00000e+00 
7.86103e-03 2.10208e+11  -2.10205e+11 0.00000e+00 
