4.95010e-05 2.72093e+00  -2.72063e+00 0.00000e+00 
5.00220e-05 2.83725e+00  -2.83694e+00 0.00000e+00 
5.05431e-05 2.95721e+00  -2.95690e+00 0.00000e+00 
5.10641e-05 3.08111e+00  -3.08079e+00 0.00000e+00 
5.15852e-05 3.20889e+00  -3.20856e+00 0.00000e+00 
5.21062e-05 3.34049e+00  -3.34015e+00 0.00000e+00 
5.26273e-05 3.47609e+00  -3.47575e+00 0.00000e+00 
5.31483e-05 3.61570e+00  -3.61535e+00 0.00000e+00 
5.36693e-05 3.75947e+00  -3.75912e+00 0.00000e+00 
5.41904e-05 3.90767e+00  -3.90730e+00 0.00000e+00 
5.47114e-05 4.06018e+00  -4.05981e+00 0.00000e+00 
5.52325e-05 4.21708e+00  -4.21670e+00 0.00000e+00 
5.57535e-05 4.37849e+00  -4.37811e+00 0.00000e+00 
5.62745e-05 4.54435e+00  -4.54396e+00 0.00000e+00 
5.67956e-05 4.71490e+00  -4.71450e+00 0.00000e+00 
5.73166e-05 4.89032e+00  -4.88991e+00 0.00000e+00 
5.78376e-05 5.07056e+00  -5.07015e+00 0.00000e+00 
5.83587e-05 5.25581e+00  -5.25539e+00 0.00000e+00 
5.88797e-05 5.44607e+00  -5.44565e+00 0.00000e+00 
5.94008e-05 5.64129e+00  -5.64085e+00 0.00000e+00 
5.99218e-05 5.84176e+00  -5.84131e+00 0.00000e+00 
6.04428e-05 6.04760e+00  -6.04715e+00 0.00000e+00 
6.09639e-05 6.25881e+00  -6.25835e+00 0.00000e+00 
6.14849e-05 6.47559e+00  -6.47512e+00 0.00000e+00 
6.20059e-05 6.69785e+00  -6.69738e+00 0.00000e+00 
6.25270e-05 6.92567e+00  -6.92519e+00 0.00000e+00 
6.30480e-05 7.15939e+00  -7.15891e+00 0.00000e+00 
6.35690e-05 7.39906e+00  -7.39856e+00 0.00000e+00 
6.40901e-05 7.64467e+00  -7.64416e+00 0.00000e+00 
6.46111e-05 7.89631e+00  -7.89580e+00 0.00000e+00 
6.51321e-05 8.15391e+00  -8.15339e+00 0.00000e+00 
6.56532e-05 8.41776e+00  -8.41723e+00 0.00000e+00 
6.61742e-05 8.68823e+00  -8.68769e+00 0.00000e+00 
6.66952e-05 8.96524e+00  -8.96469e+00 0.00000e+00 
6.72163e-05 9.24878e+00  -9.24822e+00 0.00000e+00 
6.77373e-05 9.53884e+00  -9.53827e+00 0.00000e+00 
6.82583e-05 9.83542e+00  -9.83484e+00 0.00000e+00 
6.87793e-05 1.01390e+01  -1.01384e+01 0.00000e+00 
6.93004e-05 1.04498e+01  -1.04492e+01 0.00000e+00 
