4.95011e-05 5.44143e+00  -5.44083e+00 0.00000e+00 
5.00221e-05 5.67475e+00  -5.67413e+00 0.00000e+00 
5.05432e-05 5.91477e+00  -5.91415e+00 0.00000e+00 
5.10642e-05 6.16176e+00  -6.16112e+00 0.00000e+00 
5.15852e-05 6.41694e+00  -6.41629e+00 0.00000e+00 
5.21063e-05 6.68044e+00  -6.67978e+00 0.00000e+00 
5.26273e-05 6.95180e+00  -6.95112e+00 0.00000e+00 
5.31484e-05 7.23139e+00  -7.23069e+00 0.00000e+00 
5.36694e-05 7.51930e+00  -7.51860e+00 0.00000e+00 
5.41905e-05 7.81504e+00  -7.81432e+00 0.00000e+00 
5.47115e-05 8.11930e+00  -8.11857e+00 0.00000e+00 
5.52325e-05 8.43339e+00  -8.43263e+00 0.00000e+00 
5.57536e-05 8.75685e+00  -8.75608e+00 0.00000e+00 
5.62746e-05 9.08873e+00  -9.08795e+00 0.00000e+00 
5.67957e-05 9.42962e+00  -9.42882e+00 0.00000e+00 
5.73167e-05 9.78024e+00  -9.77943e+00 0.00000e+00 
5.78377e-05 1.01404e+01  -1.01396e+01 0.00000e+00 
5.83588e-05 1.05107e+01  -1.05098e+01 0.00000e+00 
5.88798e-05 1.08918e+01  -1.08909e+01 0.00000e+00 
5.94008e-05 1.12829e+01  -1.12821e+01 0.00000e+00 
5.99219e-05 1.16833e+01  -1.16824e+01 0.00000e+00 
6.04429e-05 1.20942e+01  -1.20933e+01 0.00000e+00 
6.09640e-05 1.25168e+01  -1.25159e+01 0.00000e+00 
6.14850e-05 1.29505e+01  -1.29496e+01 0.00000e+00 
6.20060e-05 1.33952e+01  -1.33943e+01 0.00000e+00 
6.25271e-05 1.38515e+01  -1.38505e+01 0.00000e+00 
6.30481e-05 1.43188e+01  -1.43178e+01 0.00000e+00 
6.35691e-05 1.47970e+01  -1.47960e+01 0.00000e+00 
6.40902e-05 1.52877e+01  -1.52867e+01 0.00000e+00 
6.46112e-05 1.57919e+01  -1.57909e+01 0.00000e+00 
6.51322e-05 1.63080e+01  -1.63069e+01 0.00000e+00 
6.56533e-05 1.68356e+01  -1.68345e+01 0.00000e+00 
6.61743e-05 1.73760e+01  -1.73749e+01 0.00000e+00 
6.66953e-05 1.79294e+01  -1.79283e+01 0.00000e+00 
6.72164e-05 1.84958e+01  -1.84947e+01 0.00000e+00 
6.77374e-05 1.90764e+01  -1.90752e+01 0.00000e+00 
6.82584e-05 1.96712e+01  -1.96700e+01 0.00000e+00 
6.87794e-05 2.02785e+01  -2.02773e+01 0.00000e+00 
6.93005e-05 2.08986e+01  -2.08975e+01 0.00000e+00 
6.98215e-05 2.15338e+01  -2.15326e+01 0.00000e+00 
7.03425e-05 2.21843e+01  -2.21831e+01 0.00000e+00 
7.08636e-05 2.28491e+01  -2.28479e+01 0.00000e+00 
7.13846e-05 2.35288e+01  -2.35276e+01 0.00000e+00 
7.19056e-05 2.42236e+01  -2.42223e+01 0.00000e+00 
7.24266e-05 2.49324e+01  -2.49311e+01 0.00000e+00 
7.29477e-05 2.56563e+01  -2.56550e+01 0.00000e+00 
7.34687e-05 2.63977e+01  -2.63964e+01 0.00000e+00 
7.39897e-05 2.71558e+01  -2.71544e+01 0.00000e+00 
7.45107e-05 2.79287e+01  -2.79273e+01 0.00000e+00 
7.50318e-05 2.87173e+01  -2.87159e+01 0.00000e+00 
