3.23358e-05 5.79925e+00  -5.79900e+00 0.00000e+00 
3.26761e-05 5.94513e+00  -5.94487e+00 0.00000e+00 
3.30165e-05 6.09350e+00  -6.09324e+00 0.00000e+00 
3.33569e-05 6.24444e+00  -6.24418e+00 0.00000e+00 
3.36972e-05 6.39802e+00  -6.39776e+00 0.00000e+00 
3.40376e-05 6.55427e+00  -6.55401e+00 0.00000e+00 
3.43780e-05 6.71322e+00  -6.71295e+00 0.00000e+00 
3.47183e-05 6.87485e+00  -6.87458e+00 0.00000e+00 
3.50587e-05 7.03915e+00  -7.03888e+00 0.00000e+00 
3.53991e-05 7.20614e+00  -7.20587e+00 0.00000e+00 
3.57394e-05 7.37585e+00  -7.37557e+00 0.00000e+00 
3.60798e-05 7.54833e+00  -7.54805e+00 0.00000e+00 
3.64202e-05 7.72366e+00  -7.72338e+00 0.00000e+00 
3.67605e-05 7.90194e+00  -7.90165e+00 0.00000e+00 
3.71009e-05 8.08320e+00  -8.08291e+00 0.00000e+00 
3.74413e-05 8.26746e+00  -8.26717e+00 0.00000e+00 
3.77816e-05 8.45472e+00  -8.45443e+00 0.00000e+00 
3.81220e-05 8.64495e+00  -8.64465e+00 0.00000e+00 
3.84623e-05 8.83817e+00  -8.83787e+00 0.00000e+00 
3.88027e-05 9.03441e+00  -9.03411e+00 0.00000e+00 
3.91431e-05 9.23376e+00  -9.23345e+00 0.00000e+00 
3.94834e-05 9.43629e+00  -9.43598e+00 0.00000e+00 
3.98238e-05 9.64208e+00  -9.64177e+00 0.00000e+00 
4.01642e-05 9.85118e+00  -9.85086e+00 0.00000e+00 
4.05045e-05 1.00636e+01  -1.00633e+01 0.00000e+00 
4.08449e-05 1.02794e+01  -1.02790e+01 0.00000e+00 
4.11853e-05 1.04984e+01  -1.04981e+01 0.00000e+00 
4.15256e-05 1.07208e+01  -1.07205e+01 0.00000e+00 
4.18660e-05 1.09465e+01  -1.09462e+01 0.00000e+00 
4.22063e-05 1.11757e+01  -1.11754e+01 0.00000e+00 
4.25467e-05 1.14084e+01  -1.14081e+01 0.00000e+00 
4.28871e-05 1.16448e+01  -1.16444e+01 0.00000e+00 
4.32274e-05 1.18848e+01  -1.18844e+01 0.00000e+00 
4.35678e-05 1.21285e+01  -1.21281e+01 0.00000e+00 
4.39082e-05 1.23758e+01  -1.23755e+01 0.00000e+00 
4.42485e-05 1.26269e+01  -1.26265e+01 0.00000e+00 
4.45889e-05 1.28816e+01  -1.28812e+01 0.00000e+00 
4.49292e-05 1.31400e+01  -1.31397e+01 0.00000e+00 
