2.58676e-03 1.84169e+07  -1.84148e+07 0.00000e+00 
2.61398e-03 1.92059e+07  -1.92038e+07 0.00000e+00 
2.64121e-03 2.00201e+07  -2.00180e+07 0.00000e+00 
2.66843e-03 2.08598e+07  -2.08577e+07 0.00000e+00 
2.69566e-03 2.17254e+07  -2.17232e+07 0.00000e+00 
2.72288e-03 2.26170e+07  -2.26148e+07 0.00000e+00 
2.75010e-03 2.35352e+07  -2.35329e+07 0.00000e+00 
2.77733e-03 2.44801e+07  -2.44778e+07 0.00000e+00 
2.80455e-03 2.54524e+07  -2.54500e+07 0.00000e+00 
2.83178e-03 2.64524e+07  -2.64500e+07 0.00000e+00 
2.85900e-03 2.74808e+07  -2.74783e+07 0.00000e+00 
2.88622e-03 2.85382e+07  -2.85357e+07 0.00000e+00 
2.91345e-03 2.96254e+07  -2.96228e+07 0.00000e+00 
2.94067e-03 3.07430e+07  -3.07404e+07 0.00000e+00 
2.96790e-03 3.18920e+07  -3.18893e+07 0.00000e+00 
2.99512e-03 3.30731e+07  -3.30704e+07 0.00000e+00 
3.02234e-03 3.42871e+07  -3.42843e+07 0.00000e+00 
3.04957e-03 3.55349e+07  -3.55321e+07 0.00000e+00 
3.07679e-03 3.68173e+07  -3.68144e+07 0.00000e+00 
3.10401e-03 3.81350e+07  -3.81320e+07 0.00000e+00 
3.13124e-03 3.94886e+07  -3.94857e+07 0.00000e+00 
3.15846e-03 4.08789e+07  -4.08759e+07 0.00000e+00 
3.18568e-03 4.23064e+07  -4.23033e+07 0.00000e+00 
3.21290e-03 4.37715e+07  -4.37684e+07 0.00000e+00 
3.24013e-03 4.52748e+07  -4.52716e+07 0.00000e+00 
3.26735e-03 4.68166e+07  -4.68134e+07 0.00000e+00 
3.29457e-03 4.83974e+07  -4.83941e+07 0.00000e+00 
3.32179e-03 5.00175e+07  -5.00142e+07 0.00000e+00 
3.34902e-03 5.16774e+07  -5.16740e+07 0.00000e+00 
3.37624e-03 5.33774e+07  -5.33740e+07 0.00000e+00 
3.40346e-03 5.51182e+07  -5.51147e+07 0.00000e+00 
3.43068e-03 5.69002e+07  -5.68966e+07 0.00000e+00 
3.45791e-03 5.87241e+07  -5.87205e+07 0.00000e+00 
3.48513e-03 6.05906e+07  -6.05869e+07 0.00000e+00 
3.51235e-03 6.25005e+07  -6.24968e+07 0.00000e+00 
3.53957e-03 6.44547e+07  -6.44509e+07 0.00000e+00 
3.56679e-03 6.64540e+07  -6.64501e+07 0.00000e+00 
3.59401e-03 6.84993e+07  -6.84954e+07 0.00000e+00 
3.62124e-03 7.05918e+07  -7.05878e+07 0.00000e+00 
3.64846e-03 7.27323e+07  -7.27283e+07 0.00000e+00 
3.67568e-03 7.49218e+07  -7.49177e+07 0.00000e+00 
3.70290e-03 7.71612e+07  -7.71570e+07 0.00000e+00 
3.73012e-03 7.94513e+07  -7.94471e+07 0.00000e+00 
3.75734e-03 8.17930e+07  -8.17887e+07 0.00000e+00 
3.78456e-03 8.41871e+07  -8.41827e+07 0.00000e+00 
3.81178e-03 8.66341e+07  -8.66297e+07 0.00000e+00 
3.83900e-03 8.91347e+07  -8.91302e+07 0.00000e+00 
3.86622e-03 9.16895e+07  -9.16850e+07 0.00000e+00 
3.89344e-03 9.42990e+07  -9.42944e+07 0.00000e+00 
3.92067e-03 9.69637e+07  -9.69590e+07 0.00000e+00 
3.94789e-03 9.96841e+07  -9.96794e+07 0.00000e+00 
3.97511e-03 1.02461e+08  -1.02456e+08 0.00000e+00 
4.00233e-03 1.05294e+08  -1.05289e+08 0.00000e+00 
4.02955e-03 1.08185e+08  -1.08180e+08 0.00000e+00 
4.05677e-03 1.11134e+08  -1.11129e+08 0.00000e+00 
4.08399e-03 1.14142e+08  -1.14137e+08 0.00000e+00 
4.11121e-03 1.17210e+08  -1.17204e+08 0.00000e+00 
4.13843e-03 1.20338e+08  -1.20333e+08 0.00000e+00 
4.16565e-03 1.23528e+08  -1.23522e+08 0.00000e+00 
4.19287e-03 1.26780e+08  -1.26775e+08 0.00000e+00 
4.22008e-03 1.30096e+08  -1.30091e+08 0.00000e+00 
4.24730e-03 1.33477e+08  -1.33472e+08 0.00000e+00 
4.27452e-03 1.36924e+08  -1.36919e+08 0.00000e+00 
4.30174e-03 1.40438e+08  -1.40433e+08 0.00000e+00 
4.32896e-03 1.44020e+08  -1.44015e+08 0.00000e+00 
4.35618e-03 1.47671e+08  -1.47666e+08 0.00000e+00 
4.38340e-03 1.51392e+08  -1.51386e+08 0.00000e+00 
4.41062e-03 1.55184e+08  -1.55178e+08 0.00000e+00 
4.43784e-03 1.59047e+08  -1.59041e+08 0.00000e+00 
4.46506e-03 1.62983e+08  -1.62977e+08 0.00000e+00 
4.49227e-03 1.66991e+08  -1.66985e+08 0.00000e+00 
4.51949e-03 1.71074e+08  -1.71067e+08 0.00000e+00 
4.54671e-03 1.75230e+08  -1.75224e+08 0.00000e+00 
4.57393e-03 1.79461e+08  -1.79455e+08 0.00000e+00 
