4.95029e-05 2.17789e-03  -2.17765e-03 0.00000e+00 
5.00240e-05 2.27114e-03  -2.27089e-03 0.00000e+00 
5.05450e-05 2.36713e-03  -2.36688e-03 0.00000e+00 
5.10661e-05 2.46613e-03  -2.46587e-03 0.00000e+00 
5.15872e-05 2.56833e-03  -2.56807e-03 0.00000e+00 
5.21083e-05 2.67373e-03  -2.67346e-03 0.00000e+00 
5.26294e-05 2.78237e-03  -2.78210e-03 0.00000e+00 
5.31504e-05 2.89430e-03  -2.89403e-03 0.00000e+00 
5.36715e-05 3.00942e-03  -3.00913e-03 0.00000e+00 
5.41926e-05 3.12779e-03  -3.12750e-03 0.00000e+00 
5.47137e-05 3.24979e-03  -3.24949e-03 0.00000e+00 
5.52348e-05 3.37553e-03  -3.37523e-03 0.00000e+00 
5.57559e-05 3.50482e-03  -3.50452e-03 0.00000e+00 
5.62769e-05 3.63767e-03  -3.63735e-03 0.00000e+00 
5.67980e-05 3.77421e-03  -3.77389e-03 0.00000e+00 
5.73191e-05 3.91450e-03  -3.91417e-03 0.00000e+00 
5.78402e-05 4.05870e-03  -4.05837e-03 0.00000e+00 
5.83613e-05 4.20708e-03  -4.20675e-03 0.00000e+00 
5.88824e-05 4.35956e-03  -4.35922e-03 0.00000e+00 
5.94034e-05 4.51590e-03  -4.51555e-03 0.00000e+00 
5.99245e-05 4.67624e-03  -4.67589e-03 0.00000e+00 
6.04456e-05 4.84094e-03  -4.84058e-03 0.00000e+00 
6.09667e-05 5.01007e-03  -5.00970e-03 0.00000e+00 
6.14878e-05 5.18364e-03  -5.18327e-03 0.00000e+00 
6.20088e-05 5.36174e-03  -5.36137e-03 0.00000e+00 
6.25299e-05 5.54428e-03  -5.54390e-03 0.00000e+00 
6.30510e-05 5.73118e-03  -5.73079e-03 0.00000e+00 
6.35721e-05 5.92281e-03  -5.92241e-03 0.00000e+00 
6.40932e-05 6.11951e-03  -6.11911e-03 0.00000e+00 
6.46143e-05 6.32116e-03  -6.32075e-03 0.00000e+00 
6.51353e-05 6.52759e-03  -6.52717e-03 0.00000e+00 
6.56564e-05 6.73892e-03  -6.73850e-03 0.00000e+00 
6.61775e-05 6.95528e-03  -6.95485e-03 0.00000e+00 
6.66986e-05 7.17677e-03  -7.17633e-03 0.00000e+00 
6.72197e-05 7.40372e-03  -7.40327e-03 0.00000e+00 
6.77408e-05 7.63625e-03  -7.63579e-03 0.00000e+00 
6.82618e-05 7.87404e-03  -7.87358e-03 0.00000e+00 
6.87829e-05 8.11703e-03  -8.11656e-03 0.00000e+00 
6.93040e-05 8.36560e-03  -8.36513e-03 0.00000e+00 
6.98251e-05 8.62003e-03  -8.61955e-03 0.00000e+00 
7.03462e-05 8.88030e-03  -8.87982e-03 0.00000e+00 
7.08672e-05 9.14652e-03  -9.14603e-03 0.00000e+00 
7.13883e-05 9.41866e-03  -9.41816e-03 0.00000e+00 
7.19094e-05 9.69653e-03  -9.69602e-03 0.00000e+00 
7.24305e-05 9.98033e-03  -9.97982e-03 0.00000e+00 
7.29516e-05 1.02706e-02  -1.02701e-02 0.00000e+00 
7.34727e-05 1.05675e-02  -1.05669e-02 0.00000e+00 
7.39937e-05 1.08706e-02  -1.08701e-02 0.00000e+00 
7.45148e-05 1.11800e-02  -1.11795e-02 0.00000e+00 
7.50359e-05 1.14959e-02  -1.14954e-02 0.00000e+00 
7.55570e-05 1.18184e-02  -1.18178e-02 0.00000e+00 
7.60781e-05 1.21477e-02  -1.21471e-02 0.00000e+00 
7.65991e-05 1.24842e-02  -1.24836e-02 0.00000e+00 
7.71202e-05 1.28276e-02  -1.28271e-02 0.00000e+00 
7.76413e-05 1.31778e-02  -1.31772e-02 0.00000e+00 
7.81624e-05 1.35348e-02  -1.35342e-02 0.00000e+00 
7.86835e-05 1.38992e-02  -1.38986e-02 0.00000e+00 
7.92046e-05 1.42711e-02  -1.42705e-02 0.00000e+00 
7.97256e-05 1.46506e-02  -1.46499e-02 0.00000e+00 
8.02467e-05 1.50376e-02  -1.50369e-02 0.00000e+00 
8.07678e-05 1.54320e-02  -1.54313e-02 0.00000e+00 
8.12889e-05 1.58337e-02  -1.58331e-02 0.00000e+00 
8.18100e-05 1.62434e-02  -1.62427e-02 0.00000e+00 
8.23310e-05 1.66614e-02  -1.66607e-02 0.00000e+00 
8.28521e-05 1.70875e-02  -1.70868e-02 0.00000e+00 
8.33732e-05 1.75215e-02  -1.75208e-02 0.00000e+00 
8.38943e-05 1.79636e-02  -1.79629e-02 0.00000e+00 
8.44154e-05 1.84138e-02  -1.84131e-02 0.00000e+00 
8.49365e-05 1.88724e-02  -1.88717e-02 0.00000e+00 
8.54575e-05 1.93400e-02  -1.93392e-02 0.00000e+00 
8.59786e-05 1.98164e-02  -1.98157e-02 0.00000e+00 
8.64997e-05 2.03013e-02  -2.03005e-02 0.00000e+00 
8.70208e-05 2.07946e-02  -2.07938e-02 0.00000e+00 
8.75419e-05 2.12969e-02  -2.12961e-02 0.00000e+00 
8.80630e-05 2.18085e-02  -2.18077e-02 0.00000e+00 
8.85840e-05 2.23293e-02  -2.23286e-02 0.00000e+00 
8.91051e-05 2.28597e-02  -2.28589e-02 0.00000e+00 
8.96262e-05 2.33993e-02  -2.33985e-02 0.00000e+00 
9.01473e-05 2.39479e-02  -2.39471e-02 0.00000e+00 
9.06684e-05 2.45060e-02  -2.45052e-02 0.00000e+00 
9.11894e-05 2.50742e-02  -2.50734e-02 0.00000e+00 
9.17105e-05 2.56526e-02  -2.56518e-02 0.00000e+00 
9.22316e-05 2.62408e-02  -2.62400e-02 0.00000e+00 
9.27527e-05 2.68389e-02  -2.68380e-02 0.00000e+00 
9.32738e-05 2.74469e-02  -2.74460e-02 0.00000e+00 
9.37949e-05 2.80650e-02  -2.80642e-02 0.00000e+00 
9.43159e-05 2.86938e-02  -2.86929e-02 0.00000e+00 
9.48370e-05 2.93336e-02  -2.93327e-02 0.00000e+00 
9.53581e-05 2.99839e-02  -2.99830e-02 0.00000e+00 
9.58792e-05 3.06445e-02  -3.06436e-02 0.00000e+00 
9.64003e-05 3.13158e-02  -3.13149e-02 0.00000e+00 
9.69213e-05 3.19982e-02  -3.19973e-02 0.00000e+00 
9.74424e-05 3.26920e-02  -3.26910e-02 0.00000e+00 
9.79635e-05 3.33971e-02  -3.33962e-02 0.00000e+00 
9.84846e-05 3.41137e-02  -3.41127e-02 0.00000e+00 
9.90057e-05 3.48414e-02  -3.48404e-02 0.00000e+00 
9.95267e-05 3.55802e-02  -3.55792e-02 0.00000e+00 
1.00048e-04 3.63309e-02  -3.63299e-02 0.00000e+00 
1.00569e-04 3.70940e-02  -3.70930e-02 0.00000e+00 
1.01090e-04 3.78691e-02  -3.78681e-02 0.00000e+00 
1.01611e-04 3.86561e-02  -3.86550e-02 0.00000e+00 
1.02132e-04 3.94550e-02  -3.94540e-02 0.00000e+00 
1.02653e-04 4.02660e-02  -4.02650e-02 0.00000e+00 
1.03174e-04 4.10895e-02  -4.10885e-02 0.00000e+00 
1.03695e-04 4.19261e-02  -4.19251e-02 0.00000e+00 
1.04216e-04 4.27757e-02  -4.27747e-02 0.00000e+00 
1.04738e-04 4.36378e-02  -4.36367e-02 0.00000e+00 
1.05259e-04 4.45123e-02  -4.45112e-02 0.00000e+00 
1.05780e-04 4.54000e-02  -4.53989e-02 0.00000e+00 
1.06301e-04 4.63011e-02  -4.63000e-02 0.00000e+00 
1.06822e-04 4.72158e-02  -4.72147e-02 0.00000e+00 
1.07343e-04 4.81443e-02  -4.81431e-02 0.00000e+00 
1.07864e-04 4.90861e-02  -4.90849e-02 0.00000e+00 
1.08385e-04 5.00411e-02  -5.00399e-02 0.00000e+00 
1.08906e-04 5.10099e-02  -5.10087e-02 0.00000e+00 
1.09427e-04 5.19932e-02  -5.19920e-02 0.00000e+00 
