
                             A:A1 PI: HOST-1 N  A:A2 PI: HOST-1 N  ALLAE Whole Model  ALLIE Whole Model  ALLKE Whole Model  ALLSE Whole Model  ALLWK Whole Model                     ETOTAL Whole Mode  LE:LE11 PI: HOST-  LE:LE22 PI: HOST-  RF:RF1 PI: HOST-1  RF:RF2 PI: HOST-1  S:S11 PI: HOST-1   S:S22 PI: HOST-1   U:U1 PI: HOST-1 N  U:U2 PI: HOST-1 N
                  X                 : 1                : 1                 -1                 -1                 -1                 -1                 -1          DT Whole Model-1         l-1          1 E: 1 Centroid    1 E: 1 Centroid          N: 1               N: 1          E: 1 Centroid      E: 1 Centroid           : 1                : 1       
                2.35955E-03      -21.0841E+03        32.4956E+03      -114.697E-06         53.2458E+06       740.549E+03         53.2458E+06        54.0432E+06       112.36E-06          13.7644E+03        -6.72373E-03       22.991E-03          0.                 0.                73.7984E+06         4.64744E+09       -6.70115E-03       23.2573E-03 
                2.47191E-03        3.36992E+03      214.384             -1.60906E-03       63.3872E+06       924.477E+03         63.3872E+06        64.3824E+06       112.36E-06           2.20734E+03       -7.58779E-03       25.0802E-03         0.                 0.               -18.0494E+06         5.01344E+09       -7.55904E-03       25.3974E-03 
                2.58427E-03       22.8437E+03       -35.0501E+03       402.595E-06         74.4477E+06       709.416E+03         74.4477E+06        75.2163E+06       112.36E-06          16.3295E+03        -8.40971E-03       27.1677E-03         0.                 0.               -93.7433E+06         5.38891E+09       -8.37438E-03       27.5401E-03 
                2.69663E-03       25.7529E+03       -58.2496E+03       -57.5584E-06        83.8315E+06       315.29E+03          83.8315E+06        84.1951E+06       112.36E-06          31.5245E+03        -8.94121E-03       28.821E-03          0.                 0.              -106.843E+06          5.71345E+09       -8.90134E-03       29.2403E-03 
                2.80899E-03       17.8971E+03       -51.6773E+03       403.214E-06         89.3808E+06        65.4435E+03        89.3808E+06        89.5075E+06       112.36E-06          22.8761E+03        -9.14485E-03       29.758E-03          0.                 0.               -75.8907E+06         5.91942E+09       -9.10317E-03       30.2052E-03 
                2.92135E-03        6.64136E+03      -15.3936E+03       604.836E-06         91.2076E+06         8.50599E+03       91.2076E+06        91.298E+06        112.36E-06           4.49477E+03       -9.1205E-03        30.0613E-03         0.                 0.               -30.3599E+06         6.0064E+09        -9.07905E-03       30.5177E-03 
                3.03371E-03       -8.0739E+03        28.0316E+03       720.613E-06         91.9071E+06        14.4491E+03        91.9071E+06        92.0014E+06       112.36E-06           8.13655E+03       -9.01158E-03       30.1759E-03         0.                 0.                26.106E+06          6.06173E+09       -8.97109E-03       30.6358E-03 
                3.14607E-03      -23.4622E+03        53.8004E+03        -1.49861E-03       94.7465E+06       107.978E+03         94.7465E+06        94.9181E+06       112.36E-06          27.0762E+03        -9.0055E-03        30.6337E-03         0.                 0.                82.8607E+06         6.18617E+09       -8.96506E-03       31.1078E-03 
                3.25843E-03      -28.2466E+03        53.2388E+03        -2.0756E-03       101.817E+06        409.463E+03        101.817E+06        102.291E+06        112.36E-06          29.8063E+03        -9.29833E-03       31.7496E-03         0.                 0.               100.177E+06          6.42011E+09       -9.25523E-03       32.259E-03  
                3.37079E-03      -15.5586E+03        30.9396E+03       403.987E-06        113.491E+06        800.859E+03        113.491E+06        114.378E+06        112.36E-06          11.571E+03         -9.95135E-03       33.5144E-03         0.                 0.                52.7395E+06         6.74748E+09       -9.90201E-03       34.0823E-03 
