
                             LAE Whole Model VD Whole Model  ETOTAL Whole Mode  
                  X                -2             -2                l-2         
                6.17978E-03      2.82348E-03   47.3205E+03        48.9311E+03   
                6.25E-03             NoValue        NoValue            NoValue  
                6.29213E-03     -3.80285E-03   48.1018E+03        48.9219E+03   
                6.36364E-03          NoValue        NoValue            NoValue  
                6.40449E-03      2.30591E-03   48.906E+03         48.9355E+03   
                6.47727E-03          NoValue        NoValue            NoValue  
                6.51685E-03    115.327E-06     49.5559E+03        48.9377E+03   
                6.59091E-03          NoValue        NoValue            NoValue  
                6.62921E-03    115.372E-06     50.1057E+03        48.947E+03    
                6.70455E-03          NoValue        NoValue            NoValue  
                6.74157E-03   -922.868E-06     50.7203E+03        48.9592E+03   
                6.81818E-03          NoValue        NoValue            NoValue  
                6.85393E-03    173.142E-06     51.4724E+03        48.9571E+03   
                6.93182E-03          NoValue        NoValue            NoValue  
                6.96629E-03    461.762E-06     52.2422E+03        48.9636E+03   
                7.04545E-03          NoValue        NoValue            NoValue  
                7.07865E-03   -288.509E-06     52.8929E+03        48.9583E+03   
                7.15909E-03          NoValue        NoValue            NoValue  
                7.19101E-03   -259.771E-06     53.4657E+03        48.9586E+03   
                7.27273E-03          NoValue        NoValue            NoValue  
                7.30337E-03     86.6421E-06    54.0904E+03        48.9727E+03   
                7.38636E-03          NoValue        NoValue            NoValue  
                7.41573E-03    462.1E-06       54.8209E+03        48.9739E+03   
                7.5E-03              NoValue        NoValue            NoValue  
                7.52809E-03    173.326E-06     55.5631E+03        48.9835E+03   
                7.61364E-03          NoValue        NoValue            NoValue  
                7.64045E-03     72.0102E-09    56.2125E+03        48.9841E+03   
                7.72727E-03          NoValue        NoValue            NoValue  
                7.75281E-03    693.612E-06     56.8019E+03        48.9888E+03   
                7.84091E-03          NoValue        NoValue            NoValue  
                7.86517E-03     -1.15598E-03   57.4342E+03        49.0016E+03   
                7.95455E-03          NoValue        NoValue            NoValue  
                7.97753E-03    694.675E-06     58.1488E+03        49.0019E+03   
                8.06818E-03          NoValue        NoValue            NoValue  
                8.08989E-03    462.672E-06     58.8684E+03        49.0149E+03   
                8.18182E-03          NoValue        NoValue            NoValue  
                8.20225E-03    231.686E-06     59.5155E+03        48.9986E+03   
                8.29545E-03          NoValue        NoValue            NoValue  
                8.31461E-03     -1.21485E-03   60.1175E+03        49.0068E+03   
                8.40909E-03          NoValue        NoValue            NoValue  
                8.42697E-03      1.04176E-03   60.7557E+03        49.0175E+03   
                8.52273E-03          NoValue        NoValue            NoValue  
                8.53933E-03    463.218E-06     61.457E+03         49.0216E+03   
                8.63636E-03          NoValue        NoValue            NoValue  
                8.65168E-03     -2.0839E-03    62.1584E+03        49.0075E+03   
                8.75E-03             NoValue        NoValue            NoValue  
                8.76405E-03    231.644E-06     62.8021E+03        49.0301E+03   
                8.86364E-03          NoValue        NoValue            NoValue  
                8.8764E-03     231.739E-06     63.4138E+03        49.0258E+03   
                8.97727E-03          NoValue        NoValue            NoValue  
                8.98876E-03    463.579E-06     64.0565E+03        49.0448E+03   
                9.09091E-03          NoValue        NoValue            NoValue  
                9.10112E-03     -1.1587E-03    64.7462E+03        49.0397E+03   
                9.20455E-03          NoValue        NoValue            NoValue  
                9.21348E-03    231.842E-06     65.4327E+03        49.0405E+03   
                9.31818E-03          NoValue        NoValue            NoValue  
                9.32584E-03    347.817E-06     66.0739E+03        49.0625E+03   
