2.76963e-05 2.50925e-04  1.57962e-01 1.58039e-01 
2.79818e-05 2.24488e-04  1.61200e-01 1.61251e-01 
2.82673e-05 2.08397e-04  1.64476e-01 1.64512e-01 
2.85527e-05 2.01183e-04  1.67797e-01 1.67825e-01 
2.88382e-05 2.03087e-04  1.71163e-01 1.71192e-01 
2.91237e-05 2.17249e-04  1.74567e-01 1.74610e-01 
2.94091e-05 2.47417e-04  1.78000e-01 1.78073e-01 
2.96946e-05 2.93653e-04  1.81454e-01 1.81573e-01 
2.99801e-05 3.49475e-04  1.84929e-01 1.85104e-01 
3.02655e-05 4.02293e-04  1.88429e-01 1.88658e-01 
3.05510e-05 4.36774e-04  1.91964e-01 1.92228e-01 
3.08364e-05 4.40375e-04  1.95545e-01 1.95813e-01 
3.11219e-05 4.09687e-04  1.99176e-01 1.99412e-01 
3.14073e-05 3.54083e-04  2.02851e-01 2.03031e-01 
3.16928e-05 2.92732e-04  2.06558e-01 2.06676e-01 
3.19782e-05 2.45101e-04  2.10283e-01 2.10353e-01 
3.22637e-05 2.20793e-04  2.14023e-01 2.14069e-01 
3.25491e-05 2.16140e-04  2.17786e-01 2.17829e-01 
3.28346e-05 2.20047e-04  2.21588e-01 2.21636e-01 
3.31200e-05 2.24077e-04  2.25439e-01 2.25490e-01 
3.34055e-05 2.28519e-04  2.29337e-01 2.29392e-01 
3.36909e-05 2.40136e-04  2.33272e-01 2.33338e-01 
3.39764e-05 2.64511e-04  2.37234e-01 2.37324e-01 
3.42618e-05 3.00113e-04  2.41219e-01 2.41345e-01 
3.45473e-05 3.38908e-04  2.45230e-01 2.45395e-01 
3.48327e-05 3.71739e-04  2.49272e-01 2.49470e-01 
3.51181e-05 3.92465e-04  2.53349e-01 2.53568e-01 
3.54036e-05 3.97699e-04  2.57462e-01 2.57686e-01 
3.56890e-05 3.85110e-04  2.61614e-01 2.61826e-01 
3.59744e-05 3.54574e-04  2.65806e-01 2.65987e-01 
3.62599e-05 3.11610e-04  2.70038e-01 2.70176e-01 
3.65453e-05 2.68226e-04  2.74301e-01 2.74395e-01 
3.68307e-05 2.38100e-04  2.78587e-01 2.78651e-01 
3.71162e-05 2.28714e-04  2.82892e-01 2.82947e-01 
3.74016e-05 2.36721e-04  2.87223e-01 2.87287e-01 
3.76870e-05 2.50856e-04  2.91593e-01 2.91671e-01 
3.79725e-05 2.60538e-04  2.96011e-01 2.96099e-01 
3.82579e-05 2.63275e-04  3.00477e-01 3.00567e-01 
3.85433e-05 2.65120e-04  3.04981e-01 3.05072e-01 
3.88287e-05 2.74584e-04  3.09512e-01 3.09612e-01 
3.91142e-05 2.95546e-04  3.14060e-01 3.14182e-01 
3.93996e-05 3.24360e-04  3.18629e-01 3.18780e-01 
3.96850e-05 3.52101e-04  3.23227e-01 3.23406e-01 
3.99704e-05 3.69305e-04  3.27863e-01 3.28060e-01 
4.02558e-05 3.70241e-04  3.32546e-01 3.32743e-01 
4.05412e-05 3.55214e-04  3.37275e-01 3.37457e-01 
4.08267e-05 3.30450e-04  3.42044e-01 3.42201e-01 
4.11121e-05 3.05310e-04  3.46843e-01 3.46974e-01 
4.13975e-05 2.87530e-04  3.51664e-01 3.51777e-01 
4.16829e-05 2.78945e-04  3.56503e-01 3.56608e-01 
4.19683e-05 2.74761e-04  3.61367e-01 3.61468e-01 
4.22537e-05 2.67480e-04  3.66267e-01 3.66362e-01 
4.25391e-05 2.53014e-04  3.71212e-01 3.71292e-01 
4.28245e-05 2.34503e-04  3.76203e-01 3.76264e-01 
4.31099e-05 2.20919e-04  3.81233e-01 3.81281e-01 
4.33953e-05 2.21802e-04  3.86295e-01 3.86343e-01 
4.36807e-05 2.42226e-04  3.91382e-01 3.91450e-01 
4.39661e-05 2.80895e-04  3.96493e-01 3.96600e-01 
4.42515e-05 3.30813e-04  4.01630e-01 4.01787e-01 
4.45369e-05 3.80637e-04  4.06797e-01 4.07005e-01 
4.48223e-05 4.16543e-04  4.12002e-01 4.12245e-01 
4.51077e-05 4.26089e-04  4.17249e-01 4.17502e-01 
4.53931e-05 4.03972e-04  4.22541e-01 4.22772e-01 
4.56785e-05 3.56245e-04  4.27874e-01 4.28057e-01 
4.59639e-05 2.98731e-04  4.33236e-01 4.33360e-01 
4.62493e-05 2.49151e-04  4.38616e-01 4.38691e-01 
4.65347e-05 2.17959e-04  4.44014e-01 4.44058e-01 
4.68201e-05 2.04698e-04  4.49439e-01 4.49471e-01 
4.71055e-05 2.02388e-04  4.54905e-01 4.54935e-01 
4.73908e-05 2.05740e-04  4.60421e-01 4.60454e-01 
4.76762e-05 2.15940e-04  4.65983e-01 4.66026e-01 
4.79616e-05 2.38270e-04  4.71582e-01 4.71646e-01 
4.82470e-05 2.75422e-04  4.77205e-01 4.77306e-01 
4.85324e-05 3.22758e-04  4.82848e-01 4.82997e-01 
4.88178e-05 3.69245e-04  4.88515e-01 4.88711e-01 
4.91031e-05 4.02547e-04  4.94213e-01 4.94442e-01 
4.93885e-05 4.14054e-04  4.99948e-01 5.00189e-01 
4.96739e-05 4.01229e-04  5.05725e-01 5.05953e-01 
4.99593e-05 3.67607e-04  5.11544e-01 5.11739e-01 
5.02446e-05 3.21801e-04  5.17404e-01 5.17552e-01 
5.05300e-05 2.75662e-04  5.23297e-01 5.23399e-01 
5.08154e-05 2.40853e-04  5.29216e-01 5.29283e-01 
5.11008e-05 2.24328e-04  5.35156e-01 5.35207e-01 
5.13861e-05 2.25267e-04  5.41119e-01 5.41171e-01 
5.16715e-05 2.36137e-04  5.47113e-01 5.47177e-01 
5.19569e-05 2.47740e-04  5.53149e-01 5.53224e-01 
5.22422e-05 2.54867e-04  5.59232e-01 5.59314e-01 
5.25276e-05 2.58715e-04  5.65358e-01 5.65443e-01 
5.28130e-05 2.64953e-04  5.71518e-01 5.71609e-01 
5.30983e-05 2.79407e-04  5.77704e-01 5.77809e-01 
5.33837e-05 3.04232e-04  5.83911e-01 5.84041e-01 
5.36690e-05 3.36136e-04  5.90140e-01 5.90302e-01 
5.39544e-05 3.66891e-04  5.96399e-01 5.96592e-01 
5.42397e-05 3.86028e-04  6.02696e-01 6.02910e-01 
5.45251e-05 3.85340e-04  6.09041e-01 6.09253e-01 
5.48105e-05 3.63531e-04  6.15432e-01 6.15622e-01 
5.50958e-05 3.28013e-04  6.21861e-01 6.22015e-01 
5.53812e-05 2.91575e-04  6.28317e-01 6.28434e-01 
5.56665e-05 2.65236e-04  6.34791e-01 6.34882e-01 
5.59519e-05 2.52082e-04  6.41283e-01 6.41361e-01 
5.62372e-05 2.46877e-04  6.47803e-01 6.47877e-01 
5.65225e-05 2.41774e-04  6.54364e-01 6.54434e-01 
5.68079e-05 2.33443e-04  6.60974e-01 6.61035e-01 
5.70932e-05 2.25862e-04  6.67629e-01 6.67681e-01 
5.73786e-05 2.27012e-04  6.74320e-01 6.74373e-01 
5.76639e-05 2.42856e-04  6.81039e-01 6.81108e-01 
5.79493e-05 2.73478e-04  6.87780e-01 6.87880e-01 
5.82346e-05 3.13360e-04  6.94545e-01 6.94685e-01 
5.85199e-05 3.54011e-04  7.01338e-01 7.01519e-01 
5.88053e-05 3.86332e-04  7.08164e-01 7.08377e-01 
5.90906e-05 4.02205e-04  7.15029e-01 7.15259e-01 
5.93759e-05 3.96546e-04  7.21940e-01 7.22163e-01 
5.96613e-05 3.70044e-04  7.28894e-01 7.29091e-01 
5.99466e-05 3.30422e-04  7.35886e-01 7.36042e-01 
6.02319e-05 2.89752e-04  7.42903e-01 7.43019e-01 
6.05173e-05 2.58384e-04  7.49939e-01 7.50023e-01 
6.08026e-05 2.39648e-04  7.56994e-01 7.57060e-01 
6.10879e-05 2.29606e-04  7.64079e-01 7.64135e-01 
6.13733e-05 2.22147e-04  7.71205e-01 7.71255e-01 
6.16586e-05 2.15214e-04  7.78380e-01 7.78422e-01 
6.19439e-05 2.13132e-04  7.85600e-01 7.85639e-01 
6.22292e-05 2.23514e-04  7.92854e-01 7.92904e-01 
6.25146e-05 2.51492e-04  8.00134e-01 8.00211e-01 
6.27999e-05 2.95461e-04  8.07434e-01 8.07555e-01 
6.30852e-05 3.46591e-04  8.14757e-01 8.14930e-01 
6.33705e-05 3.91679e-04  8.22110e-01 8.22329e-01 
6.36558e-05 4.17657e-04  8.29503e-01 8.29747e-01 
6.39411e-05 4.16274e-04  8.36939e-01 8.37183e-01 
6.42265e-05 3.87566e-04  8.44420e-01 8.44634e-01 
6.45118e-05 3.40464e-04  8.51938e-01 8.52105e-01 
6.47971e-05 2.89416e-04  8.59485e-01 8.59601e-01 
6.50824e-05 2.48088e-04  8.67054e-01 8.67128e-01 
6.53677e-05 2.23624e-04  8.74643e-01 8.74693e-01 
6.56530e-05 2.15120e-04  8.82261e-01 8.82303e-01 
6.59383e-05 2.16990e-04  8.89916e-01 8.89960e-01 
6.62236e-05 2.24209e-04  8.97616e-01 8.97667e-01 
6.65089e-05 2.35358e-04  9.05359e-01 9.05421e-01 
6.67942e-05 2.51824e-04  9.13140e-01 9.13218e-01 
6.70795e-05 2.74878e-04  9.20952e-01 9.21053e-01 
6.73648e-05 3.03487e-04  9.28789e-01 9.28918e-01 
6.76501e-05 3.34029e-04  9.36649e-01 9.36809e-01 
6.79354e-05 3.61064e-04  9.44535e-01 9.44723e-01 
6.82207e-05 3.78237e-04  9.52452e-01 9.52657e-01 
6.85060e-05 3.79706e-04  9.60408e-01 9.60615e-01 
6.87913e-05 3.62836e-04  9.68410e-01 9.68601e-01 
6.90766e-05 3.31152e-04  9.76458e-01 9.76616e-01 
6.93619e-05 2.94713e-04  9.84543e-01 9.84664e-01 
6.96472e-05 2.65958e-04  9.92654e-01 9.92746e-01 
6.99325e-05 2.52802e-04  1.00078e+00 1.00086e+00 
7.02178e-05 2.53926e-04  1.00893e+00 1.00901e+00 
7.05031e-05 2.60232e-04  1.01710e+00 1.01719e+00 
7.07884e-05 2.61726e-04  1.02532e+00 1.02541e+00 
7.10736e-05 2.54675e-04  1.03359e+00 1.03367e+00 
7.13589e-05 2.43872e-04  1.04190e+00 1.04197e+00 
7.16442e-05 2.38977e-04  1.05025e+00 1.05031e+00 
7.19295e-05 2.48271e-04  1.05862e+00 1.05870e+00 
7.22148e-05 2.74103e-04  1.06701e+00 1.06711e+00 
7.25000e-05 3.11934e-04  1.07543e+00 1.07557e+00 
7.27853e-05 3.52194e-04  1.08388e+00 1.08405e+00 
7.30706e-05 3.83419e-04  1.09236e+00 1.09257e+00 
7.33559e-05 3.95913e-04  1.10088e+00 1.10111e+00 
7.36411e-05 3.85389e-04  1.10945e+00 1.10967e+00 
7.39264e-05 3.55150e-04  1.11807e+00 1.11825e+00 
7.42117e-05 3.14982e-04  1.12671e+00 1.12685e+00 
7.44970e-05 2.76556e-04  1.13537e+00 1.13547e+00 
7.47822e-05 2.47870e-04  1.14405e+00 1.14413e+00 
7.50675e-05 2.30485e-04  1.15276e+00 1.15282e+00 
7.53528e-05 2.21272e-04  1.16151e+00 1.16155e+00 
7.56380e-05 2.16883e-04  1.17029e+00 1.17034e+00 
7.59233e-05 2.17211e-04  1.17913e+00 1.17917e+00 
7.62086e-05 2.25455e-04  1.18800e+00 1.18805e+00 
7.64938e-05 2.45365e-04  1.19690e+00 1.19697e+00 
7.67791e-05 2.78020e-04  1.20583e+00 1.20594e+00 
7.70644e-05 3.19987e-04  1.21479e+00 1.21493e+00 
7.73496e-05 3.63305e-04  1.22376e+00 1.22395e+00 
7.76349e-05 3.97094e-04  1.23277e+00 1.23299e+00 
7.79201e-05 4.10815e-04  1.24182e+00 1.24205e+00 
7.82054e-05 3.98714e-04  1.25091e+00 1.25114e+00 
7.84906e-05 3.63466e-04  1.26005e+00 1.26024e+00 
7.87759e-05 3.16187e-04  1.26922e+00 1.26936e+00 
7.90611e-05 2.71588e-04  1.27842e+00 1.27852e+00 
7.93464e-05 2.40694e-04  1.28764e+00 1.28771e+00 
7.96316e-05 2.25992e-04  1.29688e+00 1.29693e+00 
7.99169e-05 2.22374e-04  1.30615e+00 1.30620e+00 
8.02021e-05 2.22822e-04  1.31546e+00 1.31551e+00 
8.04874e-05 2.24159e-04  1.32482e+00 1.32487e+00 
8.07726e-05 2.28708e-04  1.33422e+00 1.33427e+00 
8.10579e-05 2.41455e-04  1.34365e+00 1.34372e+00 
8.13431e-05 2.65727e-04  1.35311e+00 1.35321e+00 
8.16283e-05 3.00537e-04  1.36260e+00 1.36273e+00 
8.19136e-05 3.40449e-04  1.37211e+00 1.37228e+00 
8.21988e-05 3.76905e-04  1.38164e+00 1.38185e+00 
8.24840e-05 4.00210e-04  1.39122e+00 1.39144e+00 
8.27693e-05 4.02365e-04  1.40083e+00 1.40106e+00 
8.30545e-05 3.80708e-04  1.41049e+00 1.41070e+00 
8.33398e-05 3.40529e-04  1.42019e+00 1.42036e+00 
8.36250e-05 2.94066e-04  1.42992e+00 1.43004e+00 
8.39102e-05 2.55186e-04  1.43968e+00 1.43976e+00 
8.41954e-05 2.32605e-04  1.44946e+00 1.44951e+00 
8.44807e-05 2.26271e-04  1.45925e+00 1.45931e+00 
8.47659e-05 2.29407e-04  1.46908e+00 1.46914e+00 
8.50511e-05 2.34389e-04  1.47896e+00 1.47902e+00 
8.53363e-05 2.37975e-04  1.48888e+00 1.48895e+00 
8.56216e-05 2.42485e-04  1.49884e+00 1.49891e+00 
8.59068e-05 2.53028e-04  1.50884e+00 1.50892e+00 
8.61920e-05 2.73444e-04  1.51886e+00 1.51896e+00 
8.64772e-05 3.03493e-04  1.52891e+00 1.52904e+00 
8.67624e-05 3.38175e-04  1.53897e+00 1.53914e+00 
8.70477e-05 3.68947e-04  1.54907e+00 1.54927e+00 
8.73329e-05 3.86500e-04  1.55920e+00 1.55942e+00 
8.76181e-05 3.84617e-04  1.56938e+00 1.56960e+00 
8.79033e-05 3.63582e-04  1.57961e+00 1.57980e+00 
8.81885e-05 3.30770e-04  1.58987e+00 1.59003e+00 
8.84737e-05 2.97180e-04  1.60017e+00 1.60029e+00 
8.87589e-05 2.71574e-04  1.61048e+00 1.61058e+00 
8.90441e-05 2.56174e-04  1.62081e+00 1.62089e+00 
8.93293e-05 2.47005e-04  1.63117e+00 1.63124e+00 
8.96145e-05 2.38444e-04  1.64156e+00 1.64163e+00 
8.98997e-05 2.28303e-04  1.65201e+00 1.65206e+00 
9.01850e-05 2.19789e-04  1.66249e+00 1.66254e+00 
9.04702e-05 2.19481e-04  1.67302e+00 1.67306e+00 
9.07554e-05 2.33387e-04  1.68357e+00 1.68363e+00 
9.10406e-05 2.63618e-04  1.69415e+00 1.69424e+00 
9.13258e-05 3.06814e-04  1.70475e+00 1.70488e+00 
9.16109e-05 3.54238e-04  1.71537e+00 1.71556e+00 
9.18961e-05 3.93532e-04  1.72603e+00 1.72625e+00 
9.21813e-05 4.12500e-04  1.73673e+00 1.73697e+00 
9.24665e-05 4.04246e-04  1.74748e+00 1.74771e+00 
9.27517e-05 3.71093e-04  1.75827e+00 1.75846e+00 
9.30369e-05 3.24222e-04  1.76909e+00 1.76924e+00 
9.33221e-05 2.78315e-04  1.77993e+00 1.78004e+00 
9.36073e-05 2.44342e-04  1.79080e+00 1.79087e+00 
9.38925e-05 2.25296e-04  1.80169e+00 1.80174e+00 
9.41777e-05 2.17510e-04  1.81261e+00 1.81265e+00 
9.44629e-05 2.15823e-04  1.82357e+00 1.82361e+00 
9.47480e-05 2.18219e-04  1.83458e+00 1.83462e+00 
9.50332e-05 2.26727e-04  1.84563e+00 1.84568e+00 
9.53184e-05 2.44803e-04  1.85671e+00 1.85678e+00 
9.56036e-05 2.73842e-04  1.86782e+00 1.86792e+00 
9.58888e-05 3.11170e-04  1.87896e+00 1.87909e+00 
9.61740e-05 3.50066e-04  1.89011e+00 1.89029e+00 
9.64591e-05 3.81308e-04  1.90130e+00 1.90150e+00 
9.67443e-05 3.95819e-04  1.91252e+00 1.91274e+00 
9.70295e-05 3.88158e-04  1.92378e+00 1.92400e+00 
9.73147e-05 3.59663e-04  1.93510e+00 1.93528e+00 
9.75998e-05 3.19087e-04  1.94645e+00 1.94659e+00 
9.78850e-05 2.79288e-04  1.95783e+00 1.95793e+00 
9.81702e-05 2.51189e-04  1.96923e+00 1.96931e+00 
9.84553e-05 2.38715e-04  1.98065e+00 1.98071e+00 
9.87405e-05 2.38075e-04  1.99209e+00 1.99216e+00 
9.90257e-05 2.41693e-04  2.00358e+00 2.00365e+00 
9.93108e-05 2.43745e-04  2.01510e+00 2.01517e+00 
9.95960e-05 2.43553e-04  2.02668e+00 2.02675e+00 
9.98812e-05 2.45216e-04  2.03829e+00 2.03836e+00 
1.00166e-04 2.54555e-04  2.04993e+00 2.05001e+00 
1.00451e-04 2.75521e-04  2.06160e+00 2.06170e+00 
1.00737e-04 3.07562e-04  2.07329e+00 2.07342e+00 
1.01022e-04 3.44621e-04  2.08500e+00 2.08517e+00 
1.01307e-04 3.76308e-04  2.09674e+00 2.09695e+00 
1.01592e-04 3.91554e-04  2.10853e+00 2.10875e+00 
1.01877e-04 3.83801e-04  2.12036e+00 2.12057e+00 
1.02162e-04 3.54932e-04  2.13224e+00 2.13242e+00 
1.02448e-04 3.14980e-04  2.14415e+00 2.14429e+00 
1.02733e-04 2.77060e-04  2.15608e+00 2.15618e+00 
1.03018e-04 2.50611e-04  2.16804e+00 2.16811e+00 
1.03303e-04 2.37472e-04  2.18001e+00 2.18008e+00 
1.03588e-04 2.33216e-04  2.19202e+00 2.19208e+00 
1.03873e-04 2.32094e-04  2.20406e+00 2.20412e+00 
1.04158e-04 2.31595e-04  2.21616e+00 2.21622e+00 
1.04444e-04 2.33665e-04  2.22829e+00 2.22835e+00 
1.04729e-04 2.42646e-04  2.24046e+00 2.24053e+00 
1.05014e-04 2.62100e-04  2.25266e+00 2.25275e+00 
1.05299e-04 2.92391e-04  2.26488e+00 2.26500e+00 
1.05584e-04 3.29599e-04  2.27713e+00 2.27729e+00 
1.05869e-04 3.65756e-04  2.28940e+00 2.28959e+00 
1.06154e-04 3.90718e-04  2.30171e+00 2.30193e+00 
1.06440e-04 3.95880e-04  2.31406e+00 2.31428e+00 
1.06725e-04 3.78498e-04  2.32645e+00 2.32666e+00 
1.07010e-04 3.43888e-04  2.33889e+00 2.33906e+00 
1.07295e-04 3.03318e-04  2.35136e+00 2.35149e+00 
1.07580e-04 2.68314e-04  2.36385e+00 2.36394e+00 
1.07865e-04 2.45048e-04  2.37636e+00 2.37643e+00 
1.08150e-04 2.32606e-04  2.38889e+00 2.38895e+00 
1.08435e-04 2.25991e-04  2.40146e+00 2.40151e+00 
1.08721e-04 2.21188e-04  2.41407e+00 2.41412e+00 
1.09006e-04 2.18499e-04  2.42673e+00 2.42677e+00 
1.09291e-04 2.22268e-04  2.43942e+00 2.43947e+00 
1.09576e-04 2.37860e-04  2.45215e+00 2.45222e+00 
1.09861e-04 2.68061e-04  2.46491e+00 2.46500e+00 
1.10146e-04 3.10576e-04  2.47768e+00 2.47782e+00 
1.10431e-04 3.57377e-04  2.49048e+00 2.49066e+00 
1.10716e-04 3.96307e-04  2.50331e+00 2.50353e+00 
1.11002e-04 4.15057e-04  2.51618e+00 2.51642e+00 
1.11287e-04 4.06468e-04  2.52910e+00 2.52933e+00 
1.11572e-04 3.72515e-04  2.54206e+00 2.54226e+00 
1.11857e-04 3.24110e-04  2.55505e+00 2.55520e+00 
