3.77543e-05 9.15529e-07  -9.02950e-07 -7.09875e-17 
3.81602e-05 8.87507e-07  -8.55648e-07 7.26405e-17 
3.85662e-05 9.68495e-07  -9.24815e-07 -7.27129e-17 
3.89721e-05 1.26058e-06  -1.22228e-06 7.41847e-17 
3.93781e-05 1.66121e-06  -1.63964e-06 -7.41635e-17 
3.97840e-05 1.94065e-06  -1.93161e-06 7.55918e-17 
4.01899e-05 1.92903e-06  -1.91305e-06 -7.54443e-17 
4.05959e-05 1.68078e-06  -1.64542e-06 7.66300e-17 
4.10018e-05 1.39413e-06  -1.35159e-06 -7.62372e-17 
4.14078e-05 1.15784e-06  -1.12689e-06 7.74193e-17 
4.18137e-05 9.05927e-07  -8.88011e-07 -7.73979e-17 
4.22197e-05 6.16911e-07  -6.02222e-07 7.92658e-17 
4.26256e-05 4.07299e-07  -3.88946e-07 -7.99480e-17 
4.30316e-05 4.33936e-07  -4.06333e-07 8.22063e-17 
4.34375e-05 8.07940e-07  -7.68363e-07 -8.27220e-17 
4.38435e-05 1.52220e-06  -1.48336e-06 8.42740e-17 
4.42494e-05 2.30689e-06  -2.28906e-06 -8.37820e-17 
4.46553e-05 2.66266e-06  -2.66095e-06 8.44474e-17 
4.50613e-05 2.29018e-06  -2.27398e-06 -8.35614e-17 
4.54672e-05 1.45107e-06  -1.40838e-06 8.45272e-17 
4.58732e-05 7.01717e-07  -6.57383e-07 -8.45158e-17 
4.62791e-05 3.39051e-07  -3.17234e-07 8.65886e-17 
4.66851e-05 2.88305e-07  -2.81074e-07 -8.74487e-17 
4.70910e-05 4.21613e-07  -4.07498e-07 8.98221e-17 
4.74970e-05 7.28296e-07  -7.00779e-07 -9.03040e-17 
4.79029e-05 1.19171e-06  -1.15718e-06 9.18423e-17 
4.83088e-05 1.70173e-06  -1.66816e-06 -9.14071e-17 
4.87148e-05 2.10032e-06  -2.07647e-06 9.23304e-17 
4.91207e-05 2.22080e-06  -2.20960e-06 -9.17370e-17 
4.95267e-05 1.96180e-06  -1.95095e-06 9.29107e-17 
4.99326e-05 1.42859e-06  -1.40282e-06 -9.27618e-17 
5.03385e-05 9.18975e-07  -8.80843e-07 9.43989e-17 
5.07445e-05 6.74214e-07  -6.40628e-07 -9.46037e-17 
5.11504e-05 6.85560e-07  -6.66876e-07 9.64664e-17 
5.15564e-05 7.73589e-07  -7.64873e-07 -9.67592e-17 
5.19623e-05 8.01018e-07  -7.88832e-07 9.86143e-17 
5.23682e-05 8.05802e-07  -7.78088e-07 -9.88080e-17 
