Global Internal Force:
 0.0000E+00  0.0000E+00 -4.1605E-11 
 0.0000E+00  0.0000E+00 -4.3868E-11 
 0.0000E+00  0.0000E+00  2.0954E-10 
 0.0000E+00  0.0000E+00  2.1768E-10 
 0.0000E+00  0.0000E+00 -4.0158E-11 
 0.0000E+00  0.0000E+00 -2.9264E-10 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 

Global Residual Force:
 8.2057E-10 -2.0509E-10 -3.5426E-10 
-2.3203E-11  3.3584E-10 -3.3699E-10 
 4.5969E-11  1.5397E-10  1.3889E-10 
 7.8656E-11  2.4602E-10 -4.1605E-11 
-1.8912E-10  7.2902E-11 -4.3868E-11 
 9.3872E-11 -4.1196E-10  2.0954E-10 
 9.7373E-11  5.3588E-10  2.1768E-10 
-4.6334E-10 -2.5804E-10 -4.0158E-11 
-5.7665E-10 -4.0545E-10 -2.9264E-10 
 4.6302E+00 -1.2347E+00 -4.4442E+00 
 4.1471E+00  2.4010E+00 -1.0312E+01 
 1.2347E+00  4.6302E+00 -4.4442E+00 
-2.4010E+00  4.1471E+00 -1.0312E+01 
-4.6302E+00  1.2347E+00 -4.4442E+00 
-4.1471E+00 -2.4010E+00 -1.0312E+01 
-1.2347E+00 -4.6302E+00 -4.4442E+00 
2
Global Internal Force:
-1.2669E-01  3.3783E-02 -8.6840E-01 
 6.0741E-01  2.7508E-01 -1.4520E+00 
 3.6656E-04  1.3747E-03 -9.2552E-01 
-3.8978E-01  5.4100E-01 -1.4520E+00 
 1.2669E-01 -3.3783E-02 -8.6840E-01 
-6.0741E-01 -2.7508E-01 -1.4520E+00 
-3.6656E-04 -1.3747E-03 -9.2552E-01 
 3.8978E-01 -5.4100E-01 -1.4520E+00 
 5.8709E-10 -4.3072E-10 -2.7686E+00 
 8.5523E-01 -2.2806E-01 -6.1133E+00 
 4.4854E+00  2.3466E+00 -1.3011E+01 
 3.3966E-01  1.2737E+00 -6.1857E+00 
-2.7214E+00  4.2684E+00 -1.3011E+01 
-8.5523E-01  2.2806E-01 -6.1133E+00 
-4.4854E+00 -2.3466E+00 -1.3011E+01 
-3.3966E-01 -1.2737E+00 -6.1857E+00 

Global Reaction Force:
 0.0000E+00  0.0000E+00 -8.6840E-01 
 0.0000E+00  0.0000E+00 -1.4520E+00 
 0.0000E+00  0.0000E+00 -9.2552E-01 
 0.0000E+00  0.0000E+00 -1.4520E+00 
 0.0000E+00  0.0000E+00 -8.6840E-01 
 0.0000E+00  0.0000E+00 -1.4520E+00 
 0.0000E+00  0.0000E+00 -9.2552E-01 
 0.0000E+00  0.0000E+00 -1.4520E+00 
 0.0000E+00  0.0000E+00 -2.7686E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
