2.58676e-03 2.20828e+07  -2.20804e+07 0.00000e+00 
2.61398e-03 2.30290e+07  -2.30265e+07 0.00000e+00 
2.64121e-03 2.40054e+07  -2.40029e+07 0.00000e+00 
2.66843e-03 2.50125e+07  -2.50099e+07 0.00000e+00 
2.69566e-03 2.60506e+07  -2.60479e+07 0.00000e+00 
2.72288e-03 2.71200e+07  -2.71173e+07 0.00000e+00 
2.75010e-03 2.82211e+07  -2.82184e+07 0.00000e+00 
2.77733e-03 2.93545e+07  -2.93517e+07 0.00000e+00 
2.80455e-03 3.05207e+07  -3.05178e+07 0.00000e+00 
2.83178e-03 3.17201e+07  -3.17172e+07 0.00000e+00 
2.85900e-03 3.29537e+07  -3.29507e+07 0.00000e+00 
2.88622e-03 3.42220e+07  -3.42190e+07 0.00000e+00 
2.91345e-03 3.55260e+07  -3.55229e+07 0.00000e+00 
2.94067e-03 3.68665e+07  -3.68634e+07 0.00000e+00 
2.96790e-03 3.82446e+07  -3.82414e+07 0.00000e+00 
2.99512e-03 3.96612e+07  -3.96579e+07 0.00000e+00 
3.02234e-03 4.11173e+07  -4.11140e+07 0.00000e+00 
3.04957e-03 4.26139e+07  -4.26105e+07 0.00000e+00 
3.07679e-03 4.41519e+07  -4.41485e+07 0.00000e+00 
3.10401e-03 4.57323e+07  -4.57288e+07 0.00000e+00 
3.13124e-03 4.73558e+07  -4.73523e+07 0.00000e+00 
3.15846e-03 4.90233e+07  -4.90196e+07 0.00000e+00 
3.18568e-03 5.07353e+07  -5.07316e+07 0.00000e+00 
3.21290e-03 5.24926e+07  -5.24888e+07 0.00000e+00 
3.24013e-03 5.42956e+07  -5.42917e+07 0.00000e+00 
3.26735e-03 5.61448e+07  -5.61409e+07 0.00000e+00 
3.29457e-03 5.80409e+07  -5.80369e+07 0.00000e+00 
3.32179e-03 5.99841e+07  -5.99800e+07 0.00000e+00 
3.34902e-03 6.19750e+07  -6.19709e+07 0.00000e+00 
3.37624e-03 6.40142e+07  -6.40101e+07 0.00000e+00 
3.40346e-03 6.61022e+07  -6.60980e+07 0.00000e+00 
3.43068e-03 6.82398e+07  -6.82355e+07 0.00000e+00 
3.45791e-03 7.04276e+07  -7.04232e+07 0.00000e+00 
3.48513e-03 7.26665e+07  -7.26621e+07 0.00000e+00 
3.51235e-03 7.49575e+07  -7.49530e+07 0.00000e+00 
3.53957e-03 7.73015e+07  -7.72970e+07 0.00000e+00 
3.56679e-03 7.96997e+07  -7.96951e+07 0.00000e+00 
3.59401e-03 8.21532e+07  -8.21485e+07 0.00000e+00 
3.62124e-03 8.46631e+07  -8.46584e+07 0.00000e+00 
3.64846e-03 8.72307e+07  -8.72258e+07 0.00000e+00 
3.67568e-03 8.98569e+07  -8.98520e+07 0.00000e+00 
3.70290e-03 9.25430e+07  -9.25380e+07 0.00000e+00 
3.73012e-03 9.52900e+07  -9.52849e+07 0.00000e+00 
3.75734e-03 9.80989e+07  -9.80937e+07 0.00000e+00 
3.78456e-03 1.00970e+08  -1.00965e+08 0.00000e+00 
3.81178e-03 1.03906e+08  -1.03900e+08 0.00000e+00 
3.83900e-03 1.06905e+08  -1.06900e+08 0.00000e+00 
3.86622e-03 1.09970e+08  -1.09964e+08 0.00000e+00 
3.89344e-03 1.13100e+08  -1.13094e+08 0.00000e+00 
3.92067e-03 1.16296e+08  -1.16290e+08 0.00000e+00 
3.94789e-03 1.19559e+08  -1.19554e+08 0.00000e+00 
3.97511e-03 1.22890e+08  -1.22884e+08 0.00000e+00 
4.00233e-03 1.26289e+08  -1.26283e+08 0.00000e+00 
4.02955e-03 1.29757e+08  -1.29751e+08 0.00000e+00 
4.05677e-03 1.33294e+08  -1.33288e+08 0.00000e+00 
4.08399e-03 1.36902e+08  -1.36896e+08 0.00000e+00 
4.11121e-03 1.40582e+08  -1.40576e+08 0.00000e+00 
4.13843e-03 1.44335e+08  -1.44329e+08 0.00000e+00 
4.16565e-03 1.48161e+08  -1.48155e+08 0.00000e+00 
4.19287e-03 1.52063e+08  -1.52057e+08 0.00000e+00 
4.22008e-03 1.56041e+08  -1.56035e+08 0.00000e+00 
4.24730e-03 1.60097e+08  -1.60090e+08 0.00000e+00 
4.27452e-03 1.64232e+08  -1.64225e+08 0.00000e+00 
4.30174e-03 1.68447e+08  -1.68440e+08 0.00000e+00 
4.32896e-03 1.72744e+08  -1.72737e+08 0.00000e+00 
4.35618e-03 1.77123e+08  -1.77116e+08 0.00000e+00 
4.38340e-03 1.81587e+08  -1.81580e+08 0.00000e+00 
4.41062e-03 1.86135e+08  -1.86128e+08 0.00000e+00 
4.43784e-03 1.90769e+08  -1.90762e+08 0.00000e+00 
4.46506e-03 1.95490e+08  -1.95483e+08 0.00000e+00 
4.49227e-03 2.00299e+08  -2.00292e+08 0.00000e+00 
4.51949e-03 2.05196e+08  -2.05188e+08 0.00000e+00 
4.54671e-03 2.10182e+08  -2.10174e+08 0.00000e+00 
4.57393e-03 2.15258e+08  -2.15250e+08 0.00000e+00 
4.60115e-03 2.20425e+08  -2.20417e+08 0.00000e+00 
4.62837e-03 2.25683e+08  -2.25675e+08 0.00000e+00 
4.65558e-03 2.31033e+08  -2.31026e+08 0.00000e+00 
4.68280e-03 2.36478e+08  -2.36470e+08 0.00000e+00 
4.71002e-03 2.42016e+08  -2.42008e+08 0.00000e+00 
4.73724e-03 2.47650e+08  -2.47642e+08 0.00000e+00 
4.76446e-03 2.53381e+08  -2.53373e+08 0.00000e+00 
4.79167e-03 2.59210e+08  -2.59202e+08 0.00000e+00 
4.81889e-03 2.65139e+08  -2.65131e+08 0.00000e+00 
4.84611e-03 2.71169e+08  -2.71160e+08 0.00000e+00 
4.87333e-03 2.77301e+08  -2.77292e+08 0.00000e+00 
4.90054e-03 2.83537e+08  -2.83528e+08 0.00000e+00 
4.92776e-03 2.89878e+08  -2.89869e+08 0.00000e+00 
4.95498e-03 2.96326e+08  -2.96317e+08 0.00000e+00 
4.98219e-03 3.02882e+08  -3.02873e+08 0.00000e+00 
5.00941e-03 3.09547e+08  -3.09538e+08 0.00000e+00 
5.03663e-03 3.16323e+08  -3.16314e+08 0.00000e+00 
5.06385e-03 3.23210e+08  -3.23200e+08 0.00000e+00 
5.09106e-03 3.30209e+08  -3.30200e+08 0.00000e+00 
5.11828e-03 3.37323e+08  -3.37313e+08 0.00000e+00 
5.14549e-03 3.44550e+08  -3.44541e+08 0.00000e+00 
5.17271e-03 3.51893e+08  -3.51883e+08 0.00000e+00 
5.19993e-03 3.59353e+08  -3.59343e+08 0.00000e+00 
5.22714e-03 3.66929e+08  -3.66919e+08 0.00000e+00 
5.25436e-03 3.74624e+08  -3.74614e+08 0.00000e+00 
5.28158e-03 3.82438e+08  -3.82428e+08 0.00000e+00 
5.30879e-03 3.90373e+08  -3.90363e+08 0.00000e+00 
5.33601e-03 3.98430e+08  -3.98419e+08 0.00000e+00 
5.36322e-03 4.06609e+08  -4.06599e+08 0.00000e+00 
5.39044e-03 4.14913e+08  -4.14902e+08 0.00000e+00 
5.41765e-03 4.23343e+08  -4.23332e+08 0.00000e+00 
5.44487e-03 4.31900e+08  -4.31889e+08 0.00000e+00 
5.47209e-03 4.40586e+08  -4.40575e+08 0.00000e+00 
5.49930e-03 4.49402e+08  -4.49391e+08 0.00000e+00 
5.52652e-03 4.58350e+08  -4.58339e+08 0.00000e+00 
5.55373e-03 4.67432e+08  -4.67421e+08 0.00000e+00 
5.58095e-03 4.76650e+08  -4.76638e+08 0.00000e+00 
5.60816e-03 4.86003e+08  -4.85992e+08 0.00000e+00 
5.63538e-03 4.95495e+08  -4.95483e+08 0.00000e+00 
5.66259e-03 5.05125e+08  -5.05114e+08 0.00000e+00 
5.68981e-03 5.14897e+08  -5.14885e+08 0.00000e+00 
