2.58328e-03 2.16214e+09  -2.16189e+09 0.00000e+00 
2.61043e-03 2.25508e+09  -2.25483e+09 0.00000e+00 
2.63758e-03 2.35116e+09  -2.35090e+09 0.00000e+00 
2.66473e-03 2.45035e+09  -2.45009e+09 0.00000e+00 
2.69188e-03 2.55264e+09  -2.55237e+09 0.00000e+00 
2.71903e-03 2.65797e+09  -2.65770e+09 0.00000e+00 
2.74618e-03 2.76630e+09  -2.76602e+09 0.00000e+00 
2.77333e-03 2.87759e+09  -2.87731e+09 0.00000e+00 
2.80047e-03 2.99182e+09  -2.99154e+09 0.00000e+00 
2.82762e-03 3.10899e+09  -3.10871e+09 0.00000e+00 
2.85476e-03 3.22913e+09  -3.22884e+09 0.00000e+00 
2.88190e-03 3.35229e+09  -3.35200e+09 0.00000e+00 
2.90904e-03 3.47858e+09  -3.47829e+09 0.00000e+00 
2.93618e-03 3.60812e+09  -3.60782e+09 0.00000e+00 
2.96331e-03 3.74107e+09  -3.74076e+09 0.00000e+00 
2.99045e-03 3.87760e+09  -3.87728e+09 0.00000e+00 
3.01758e-03 4.01790e+09  -4.01758e+09 0.00000e+00 
3.04472e-03 4.16217e+09  -4.16184e+09 0.00000e+00 
3.07185e-03 4.31059e+09  -4.31026e+09 0.00000e+00 
3.09898e-03 4.46335e+09  -4.46301e+09 0.00000e+00 
3.12611e-03 4.62060e+09  -4.62025e+09 0.00000e+00 
3.15324e-03 4.78245e+09  -4.78210e+09 0.00000e+00 
3.18037e-03 4.94902e+09  -4.94865e+09 0.00000e+00 
3.20750e-03 5.12034e+09  -5.11997e+09 0.00000e+00 
3.23464e-03 5.29645e+09  -5.29607e+09 0.00000e+00 
3.26177e-03 5.47732e+09  -5.47693e+09 0.00000e+00 
3.28890e-03 5.66290e+09  -5.66251e+09 0.00000e+00 
3.31603e-03 5.85314e+09  -5.85275e+09 0.00000e+00 
3.34316e-03 6.04795e+09  -6.04755e+09 0.00000e+00 
3.37029e-03 6.24724e+09  -6.24684e+09 0.00000e+00 
3.39741e-03 6.45095e+09  -6.45054e+09 0.00000e+00 
3.42454e-03 6.65903e+09  -6.65862e+09 0.00000e+00 
3.45167e-03 6.87147e+09  -6.87105e+09 0.00000e+00 
3.47879e-03 7.08830e+09  -7.08787e+09 0.00000e+00 
