2.01324e-03 1.47511e+09  -1.47494e+09 0.00000e+00 
2.03441e-03 1.53850e+09  -1.53833e+09 0.00000e+00 
2.05558e-03 1.60389e+09  -1.60372e+09 0.00000e+00 
2.07674e-03 1.67128e+09  -1.67111e+09 0.00000e+00 
2.09791e-03 1.74069e+09  -1.74051e+09 0.00000e+00 
2.11907e-03 1.81212e+09  -1.81194e+09 0.00000e+00 
2.14024e-03 1.88558e+09  -1.88539e+09 0.00000e+00 
2.16140e-03 1.96109e+09  -1.96090e+09 0.00000e+00 
2.18257e-03 2.03867e+09  -2.03848e+09 0.00000e+00 
2.20373e-03 2.11835e+09  -2.11815e+09 0.00000e+00 
2.22489e-03 2.20016e+09  -2.19997e+09 0.00000e+00 
2.24605e-03 2.28417e+09  -2.28397e+09 0.00000e+00 
2.26721e-03 2.37040e+09  -2.37020e+09 0.00000e+00 
2.28837e-03 2.45894e+09  -2.45874e+09 0.00000e+00 
2.30953e-03 2.54985e+09  -2.54965e+09 0.00000e+00 
2.33069e-03 2.64321e+09  -2.64300e+09 0.00000e+00 
2.35184e-03 2.73910e+09  -2.73888e+09 0.00000e+00 
2.37300e-03 2.83759e+09  -2.83737e+09 0.00000e+00 
2.39415e-03 2.93879e+09  -2.93857e+09 0.00000e+00 
2.41531e-03 3.04278e+09  -3.04255e+09 0.00000e+00 
2.43646e-03 3.14964e+09  -3.14940e+09 0.00000e+00 
2.45762e-03 3.25945e+09  -3.25921e+09 0.00000e+00 
2.47877e-03 3.37229e+09  -3.37205e+09 0.00000e+00 
2.49993e-03 3.48823e+09  -3.48798e+09 0.00000e+00 
2.52108e-03 3.60733e+09  -3.60708e+09 0.00000e+00 
2.54223e-03 3.72964e+09  -3.72938e+09 0.00000e+00 
2.56339e-03 3.85521e+09  -3.85495e+09 0.00000e+00 
2.58454e-03 3.98407e+09  -3.98380e+09 0.00000e+00 
2.60569e-03 4.11626e+09  -4.11598e+09 0.00000e+00 
2.62684e-03 4.25178e+09  -4.25150e+09 0.00000e+00 
2.64799e-03 4.39066e+09  -4.39038e+09 0.00000e+00 
2.66914e-03 4.53290e+09  -4.53262e+09 0.00000e+00 
2.69029e-03 4.67851e+09  -4.67822e+09 0.00000e+00 
2.71144e-03 4.82750e+09  -4.82721e+09 0.00000e+00 
2.73259e-03 4.97988e+09  -4.97958e+09 0.00000e+00 
2.75374e-03 5.13564e+09  -5.13534e+09 0.00000e+00 
2.77489e-03 5.29481e+09  -5.29451e+09 0.00000e+00 
2.79604e-03 5.45742e+09  -5.45711e+09 0.00000e+00 
2.81719e-03 5.62348e+09  -5.62317e+09 0.00000e+00 
2.83833e-03 5.79306e+09  -5.79274e+09 0.00000e+00 
2.85948e-03 5.96619e+09  -5.96587e+09 0.00000e+00 
2.88062e-03 6.14296e+09  -6.14264e+09 0.00000e+00 
2.90177e-03 6.32344e+09  -6.32311e+09 0.00000e+00 
2.92291e-03 6.50772e+09  -6.50738e+09 0.00000e+00 
2.94405e-03 6.69589e+09  -6.69555e+09 0.00000e+00 
2.96519e-03 6.88806e+09  -6.88771e+09 0.00000e+00 
2.98633e-03 7.08433e+09  -7.08399e+09 0.00000e+00 
3.00747e-03 7.28483e+09  -7.28448e+09 0.00000e+00 
3.02861e-03 7.48966e+09  -7.48930e+09 0.00000e+00 
3.04975e-03 7.69893e+09  -7.69857e+09 0.00000e+00 
3.07089e-03 7.91275e+09  -7.91238e+09 0.00000e+00 
3.09203e-03 8.13121e+09  -8.13083e+09 0.00000e+00 
3.11317e-03 8.35440e+09  -8.35402e+09 0.00000e+00 
3.13431e-03 8.58241e+09  -8.58202e+09 0.00000e+00 
3.15544e-03 8.81531e+09  -8.81491e+09 0.00000e+00 
3.17658e-03 9.05314e+09  -9.05274e+09 0.00000e+00 
3.19772e-03 9.29596e+09  -9.29555e+09 0.00000e+00 
3.21885e-03 9.54380e+09  -9.54339e+09 0.00000e+00 
3.23999e-03 9.79668e+09  -9.79627e+09 0.00000e+00 
3.26113e-03 1.00546e+10  -1.00542e+10 0.00000e+00 
3.28226e-03 1.03177e+10  -1.03172e+10 0.00000e+00 
3.30340e-03 1.05858e+10  -1.05853e+10 0.00000e+00 
3.32453e-03 1.08589e+10  -1.08585e+10 0.00000e+00 
3.34567e-03 1.11372e+10  -1.11368e+10 0.00000e+00 
3.36680e-03 1.14206e+10  -1.14201e+10 0.00000e+00 
3.38793e-03 1.17090e+10  -1.17086e+10 0.00000e+00 
3.40906e-03 1.20027e+10  -1.20022e+10 0.00000e+00 
3.43020e-03 1.23014e+10  -1.23010e+10 0.00000e+00 
3.45133e-03 1.26054e+10  -1.26050e+10 0.00000e+00 
3.47246e-03 1.29147e+10  -1.29142e+10 0.00000e+00 
3.49359e-03 1.32294e+10  -1.32289e+10 0.00000e+00 
3.51472e-03 1.35494e+10  -1.35489e+10 0.00000e+00 
3.53585e-03 1.38751e+10  -1.38746e+10 0.00000e+00 
3.55697e-03 1.42063e+10  -1.42058e+10 0.00000e+00 
3.57810e-03 1.45434e+10  -1.45429e+10 0.00000e+00 
