
                             A:A1 PI: HOST-1 N  A:A2 PI: HOST-1 N  ALLAE Whole Model  ALLIE Whole Model  ALLKE Whole Model  ALLSE Whole Model  ALLWK Whole Model                     ETOTAL Whole Mode  LE:LE11 PI: HOST-  LE:LE22 PI: HOST-  RF:RF1 PI: HOST-1  RF:RF2 PI: HOST-1  S:S11 PI: HOST-1   S:S22 PI: HOST-1   U:U1 PI: HOST-1 N  U:U2 PI: HOST-1 N
                  X                 : 1                : 1                 -1                 -1                 -1                 -1                 -1          DT Whole Model-1         l-1          1 E: 1 Centroid    1 E: 1 Centroid          N: 1               N: 1          E: 1 Centroid      E: 1 Centroid           : 1                : 1       
                2.35955E-03       -3.1956E+03         0.                -1.59968E-03        8.84986E+06       33.8612E+03         8.84986E+06        8.86736E+06      112.36E-06          31.3208E+03        -2.79981E-03        9.3939E-03         0.               469.566E+06          8.1433E+06         1.88457E+09       -2.79592E-03        9.4382E-03 
                2.47191E-03       -4.94944E+03        0.              -171.483E-06          9.71025E+06       37.6258E+03         9.71025E+06        9.73213E+06      112.36E-06          31.4984E+03        -2.91314E-03        9.83909E-03        0.               492.496E+06         16.0789E+06         1.97841E+09       -2.90891E-03        9.88764E-03
                2.58427E-03     -269.861              0.                 1.42915E-03       10.6091E+06        40.8972E+03        10.6091E+06        10.6347E+06       112.36E-06          31.2015E+03        -3.08919E-03       10.2841E-03         0.               511.619E+06       -273.152E+03          2.05784E+09       -3.08439E-03       10.3371E-03 
                2.69663E-03        4.34396E+03        0.                -1.37202E-03       11.5489E+06        38.2864E+03        11.5489E+06        11.5718E+06       112.36E-06          31.4339E+03        -3.26863E-03       10.7288E-03         0.               530.926E+06        -18.0376E+06         2.13641E+09       -3.26328E-03       10.7865E-03 
                2.80899E-03        3.02073E+03        0.                -1.02908E-03       12.5271E+06        34.603E+03         12.5271E+06        12.5469E+06       112.36E-06          31.3175E+03        -3.39308E-03       11.1733E-03         0.               553.811E+06        -14.4691E+06         2.22755E+09       -3.38732E-03       11.236E-03  
                2.92135E-03       -2.00775E+03        0.               286.006E-06         13.5446E+06        34.2011E+03        13.5446E+06        13.5649E+06       112.36E-06          31.2565E+03        -3.47927E-03       11.6176E-03         0.               578.765E+06          3.91616E+06        2.32737E+09       -3.47323E-03       11.6854E-03 
                3.03371E-03       -4.01845E+03        0.              -686.175E-06         14.6024E+06        36.9672E+03        14.6024E+06        14.6261E+06       112.36E-06          31.4069E+03        -3.59087E-03       12.0618E-03         0.               601.776E+06         12.4234E+06         2.42133E+09       -3.58449E-03       12.1348E-03 
                3.14607E-03     -723.791              0.               572.175E-06         15.6988E+06        39.7746E+03        15.6988E+06        15.7258E+06       112.36E-06          31.2189E+03        -3.75346E-03       12.5057E-03         0.               621.637E+06          1.12746E+06        2.50361E+09       -3.74648E-03       12.5843E-03 
                3.25843E-03        3.19844E+03        0.              -457.74E-06          16.8355E+06        38.242E+03         16.8355E+06        16.8609E+06       112.36E-06          31.3392E+03        -3.92527E-03       12.9495E-03         0.               641.233E+06        -13.7804E+06         2.58373E+09       -3.9176E-03        13.0337E-03 
                3.37079E-03        2.69453E+03        0.                 0.                18.0109E+06        35.1973E+03        18.0109E+06        18.0337E+06       112.36E-06          31.3054E+03        -4.05656E-03       13.3931E-03         0.               663.5E+06          -12.9757E+06         2.67305E+09       -4.04835E-03       13.4831E-03 
                3.48315E-03       -1.20702E+03        0.                 1.68887E-03       19.2252E+06        34.5615E+03        19.2252E+06        19.2483E+06       112.36E-06          31.2356E+03        -4.1537E-03        13.8364E-03         0.               687.684E+06          1.11891E+06        2.77015E+09       -4.14508E-03       13.9326E-03 
                3.59551E-03       -3.19259E+03        0.                -1.8318E-03        20.4795E+06        36.5865E+03        20.4795E+06        20.5052E+06       112.36E-06          31.3465E+03        -4.26613E-03       14.2796E-03         0.               710.611E+06          9.22792E+06        2.8637E+09        -4.25705E-03       14.382E-03  
                3.70787E-03     -914.501              0.               572.714E-06         21.7725E+06        38.9114E+03        21.7725E+06        21.801E+06        112.36E-06          31.2329E+03        -4.41903E-03       14.7225E-03         0.               730.988E+06          1.5959E+06         2.94797E+09       -4.40932E-03       14.8315E-03 
                3.82022E-03        2.32828E+03        0.                 1.37454E-03       23.1052E+06        38.0704E+03        23.1052E+06        23.133E+06        112.36E-06          31.2922E+03        -4.58359E-03       15.1653E-03         0.               750.877E+06        -10.5869E+06         3.02956E+09       -4.57314E-03       15.2809E-03 
                3.93258E-03        2.30548E+03        0.                 2.52039E-03       24.4769E+06        35.643E+03         24.4769E+06        24.5026E+06       112.36E-06          31.2926E+03        -4.71865E-03       15.6079E-03         0.               772.739E+06        -11.3348E+06         3.11782E+09       -4.70756E-03       15.7303E-03 
                4.04494E-03     -652.64               0.              -458.198E-06         25.8872E+06        34.9047E+03        25.8872E+06        25.9129E+06       112.36E-06          31.2365E+03        -4.82452E-03       16.0503E-03         0.               796.259E+06       -751.656E+03          3.21265E+09       -4.81288E-03       16.1798E-03 
                4.1573E-03        -2.50348E+03        0.               916.962E-06         27.3371E+06        36.3729E+03        27.3371E+06        27.3648E+06       112.36E-06          31.3087E+03        -4.93865E-03       16.4925E-03         0.               819.022E+06          6.60973E+06        3.30557E+09       -4.92644E-03       16.6292E-03 
                4.26966E-03     -961.183              0.                -1.60468E-03       28.8258E+06        38.2646E+03        28.8258E+06        28.8559E+06       112.36E-06          31.2472E+03        -5.08454E-03       16.9344E-03         0.               839.748E+06          1.57402E+06        3.39119E+09       -5.07161E-03       17.0787E-03 
                4.38202E-03        1.66557E+03        0.               401.281E-06         30.3537E+06        37.8529E+03        30.3537E+06        30.3836E+06       112.36E-06          31.2721E+03        -5.24261E-03       17.3762E-03         0.               859.89E+06          -8.19392E+06        3.47404E+09       -5.2289E-03        17.5281E-03 
                4.49438E-03        1.92779E+03        0.              -286.61E-06          31.9205E+06        35.954E+03         31.9205E+06        31.9489E+06       112.36E-06          31.2875E+03        -5.37963E-03       17.8178E-03         0.               881.463E+06         -9.80659E+06        3.56161E+09       -5.36518E-03       17.9775E-03 
                4.60674E-03     -319.15               0.              -229.342E-06         33.526E+06         35.2073E+03        33.526E+06         33.5542E+06       112.36E-06          31.2448E+03        -5.49213E-03       18.2593E-03         0.               904.469E+06         -1.83717E+06        3.65477E+09       -5.47711E-03       18.427E-03  
                4.7191E-03        -1.93116E+03        0.               229.583E-06         35.1706E+06        36.2708E+03        35.1706E+06        35.2005E+06       112.36E-06          31.2928E+03        -5.60874E-03       18.7005E-03         0.               927.005E+06          4.48608E+06        3.7469E+09        -5.59307E-03       18.8764E-03 
                4.83146E-03     -907.308              0.                36.438E-09         36.854E+06         37.7913E+03        36.854E+06         36.8858E+06       112.36E-06          31.2572E+03        -5.74987E-03       19.1415E-03         0.               947.956E+06          1.24061E+06        3.83343E+09       -5.73341E-03       19.3258E-03 
                4.94382E-03        1.21257E+03        0.               487.764E-06         38.5764E+06        37.6226E+03        38.5764E+06        38.6083E+06       112.36E-06          31.2653E+03        -5.90255E-03       19.5823E-03         0.               968.294E+06         -6.5744E+06         3.91725E+09       -5.88521E-03       19.7753E-03 
                5.05618E-03        1.57815E+03        0.                -1.06144E-03       40.3375E+06        36.1518E+03        40.3375E+06        40.3683E+06       112.36E-06          31.2832E+03        -6.03989E-03       20.0229E-03         0.               989.689E+06         -8.41856E+06        4.00452E+09       -6.0217E-03        20.2247E-03 
