1.72237e-06 1.28863e-05  6.17121e-16 0.00000e+00 
1.63602e-04 1.58608e+02  -1.58590e+02 0.00000e+00 
1.65324e-04 1.65389e+02  -1.65371e+02 0.00000e+00 
1.67045e-04 1.72386e+02  -1.72367e+02 0.00000e+00 
1.68767e-04 1.79601e+02  -1.79582e+02 0.00000e+00 
1.70489e-04 1.87039e+02  -1.87020e+02 0.00000e+00 
1.72211e-04 1.94703e+02  -1.94684e+02 0.00000e+00 
1.73933e-04 2.02601e+02  -2.02581e+02 0.00000e+00 
1.75655e-04 2.10736e+02  -2.10716e+02 0.00000e+00 
1.77376e-04 2.19117e+02  -2.19096e+02 0.00000e+00 
1.79098e-04 2.27746e+02  -2.27725e+02 0.00000e+00 
1.80820e-04 2.36628e+02  -2.36606e+02 0.00000e+00 
1.82542e-04 2.45766e+02  -2.45744e+02 0.00000e+00 
1.84264e-04 2.55165e+02  -2.55142e+02 0.00000e+00 
1.85986e-04 2.64828e+02  -2.64806e+02 0.00000e+00 
1.87707e-04 2.74764e+02  -2.74741e+02 0.00000e+00 
1.89429e-04 2.84977e+02  -2.84954e+02 0.00000e+00 
1.91151e-04 2.95474e+02  -2.95450e+02 0.00000e+00 
1.92873e-04 3.06260e+02  -3.06236e+02 0.00000e+00 
1.94594e-04 3.17338e+02  -3.17314e+02 0.00000e+00 
1.96316e-04 3.28714e+02  -3.28688e+02 0.00000e+00 
1.98038e-04 3.40390e+02  -3.40364e+02 0.00000e+00 
1.99760e-04 3.52374e+02  -3.52348e+02 0.00000e+00 
2.01482e-04 3.64671e+02  -3.64644e+02 0.00000e+00 
2.03203e-04 3.77287e+02  -3.77260e+02 0.00000e+00 
2.04925e-04 3.90230e+02  -3.90203e+02 0.00000e+00 
2.06647e-04 4.03504e+02  -4.03476e+02 0.00000e+00 
2.08369e-04 4.17114e+02  -4.17086e+02 0.00000e+00 
2.10090e-04 4.31065e+02  -4.31036e+02 0.00000e+00 
2.11812e-04 4.45360e+02  -4.45331e+02 0.00000e+00 
2.13534e-04 4.60007e+02  -4.59977e+02 0.00000e+00 
2.15255e-04 4.75012e+02  -4.74982e+02 0.00000e+00 
2.16977e-04 4.90382e+02  -4.90351e+02 0.00000e+00 
2.18699e-04 5.06124e+02  -5.06092e+02 0.00000e+00 
2.20420e-04 5.22242e+02  -5.22210e+02 0.00000e+00 
2.22142e-04 5.38742e+02  -5.38710e+02 0.00000e+00 
2.23864e-04 5.55629e+02  -5.55596e+02 0.00000e+00 
2.25586e-04 5.72908e+02  -5.72875e+02 0.00000e+00 
2.27307e-04 5.90586e+02  -5.90552e+02 0.00000e+00 
2.29029e-04 6.08670e+02  -6.08636e+02 0.00000e+00 
2.30751e-04 6.27167e+02  -6.27132e+02 0.00000e+00 
2.32472e-04 6.46083e+02  -6.46048e+02 0.00000e+00 
2.34194e-04 6.65425e+02  -6.65389e+02 0.00000e+00 
2.35916e-04 6.85197e+02  -6.85161e+02 0.00000e+00 
2.37637e-04 7.05406e+02  -7.05369e+02 0.00000e+00 
2.39359e-04 7.26057e+02  -7.26019e+02 0.00000e+00 
2.41080e-04 7.47157e+02  -7.47119e+02 0.00000e+00 
2.42802e-04 7.68714e+02  -7.68675e+02 0.00000e+00 
2.44524e-04 7.90734e+02  -7.90695e+02 0.00000e+00 
2.46245e-04 8.13226e+02  -8.13186e+02 0.00000e+00 
2.47967e-04 8.36194e+02  -8.36153e+02 0.00000e+00 
2.49689e-04 8.59645e+02  -8.59604e+02 0.00000e+00 
2.51410e-04 8.83584e+02  -8.83543e+02 0.00000e+00 
2.53132e-04 9.08019e+02  -9.07977e+02 0.00000e+00 
2.54853e-04 9.32956e+02  -9.32913e+02 0.00000e+00 
2.56575e-04 9.58403e+02  -9.58360e+02 0.00000e+00 
2.58296e-04 9.84368e+02  -9.84324e+02 0.00000e+00 
2.60018e-04 1.01086e+03  -1.01081e+03 0.00000e+00 
2.61740e-04 1.03788e+03  -1.03783e+03 0.00000e+00 
2.63461e-04 1.06544e+03  -1.06539e+03 0.00000e+00 
2.65183e-04 1.09354e+03  -1.09349e+03 0.00000e+00 
2.66904e-04 1.12219e+03  -1.12215e+03 0.00000e+00 
2.68626e-04 1.15141e+03  -1.15136e+03 0.00000e+00 
2.70347e-04 1.18119e+03  -1.18114e+03 0.00000e+00 
2.72069e-04 1.21154e+03  -1.21149e+03 0.00000e+00 
2.73790e-04 1.24248e+03  -1.24243e+03 0.00000e+00 
2.75512e-04 1.27400e+03  -1.27395e+03 0.00000e+00 
2.77234e-04 1.30612e+03  -1.30607e+03 0.00000e+00 
2.78955e-04 1.33884e+03  -1.33879e+03 0.00000e+00 
2.80677e-04 1.37217e+03  -1.37212e+03 0.00000e+00 
2.82398e-04 1.40612e+03  -1.40607e+03 0.00000e+00 
2.84120e-04 1.44070e+03  -1.44065e+03 0.00000e+00 
2.85841e-04 1.47591e+03  -1.47586e+03 0.00000e+00 
2.87563e-04 1.51176e+03  -1.51171e+03 0.00000e+00 
2.89284e-04 1.54826e+03  -1.54821e+03 0.00000e+00 
2.91005e-04 1.58542e+03  -1.58536e+03 0.00000e+00 
2.92727e-04 1.62324e+03  -1.62319e+03 0.00000e+00 
2.94448e-04 1.66173e+03  -1.66168e+03 0.00000e+00 
2.96170e-04 1.70091e+03  -1.70085e+03 0.00000e+00 
2.97891e-04 1.74077e+03  -1.74071e+03 0.00000e+00 
2.99613e-04 1.78133e+03  -1.78127e+03 0.00000e+00 
3.01334e-04 1.82259e+03  -1.82253e+03 0.00000e+00 
3.03056e-04 1.86457e+03  -1.86451e+03 0.00000e+00 
3.04777e-04 1.90726e+03  -1.90720e+03 0.00000e+00 
3.06499e-04 1.95068e+03  -1.95062e+03 0.00000e+00 
3.08220e-04 1.99484e+03  -1.99478e+03 0.00000e+00 
3.09941e-04 2.03975e+03  -2.03969e+03 0.00000e+00 
3.11663e-04 2.08541e+03  -2.08534e+03 0.00000e+00 
