Global Internal Force:
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00 -3.4166E-07 
 0.0000E+00  0.0000E+00 -4.1518E-07 
 0.0000E+00  0.0000E+00  2.8574E+06 
 0.0000E+00  0.0000E+00  2.8574E+06 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 

Global Residual Force:
-1.3294E+06 -1.3294E+06  2.8574E+06 
-1.3294E+06  1.3294E+06  2.8574E+06 
-1.3294E+06 -1.3294E+06 -2.8574E+06 
-1.3294E+06  1.3294E+06 -2.8574E+06 
-1.2565E-06 -2.6116E-06 -4.1775E-07 
-1.0433E-06  2.3894E-06 -5.6273E-07 
-1.1670E-06 -2.1570E-06 -2.8013E-07 
-9.0166E-07  1.7878E-06 -4.0228E-07 
-3.0514E-07 -3.5326E-07 -3.4166E-07 
-2.8038E-07  3.7453E-07 -4.1518E-07 
 1.3294E+06 -1.3294E+06  2.8574E+06 
 1.3294E+06  1.3294E+06  2.8574E+06 
 1.3294E+06 -1.3294E+06 -2.8574E+06 
 1.3294E+06  1.3294E+06 -2.8574E+06 
 1.1345E-06 -2.3780E-06  2.5877E-07 
 1.2529E-06  2.5669E-06  2.7685E-07 
s2
Global Internal Force:
 8.3436E+05  8.3436E+05  2.7701E+06 
 8.3436E+05 -8.3436E+05  2.7701E+06 
 8.3572E+05  8.3572E+05 -2.1379E+06 
 8.3572E+05 -8.3572E+05 -2.1379E+06 
 1.9565E+03  1.9565E+03 -6.3214E+05 
 1.9565E+03 -1.9565E+03 -6.3214E+05 
 3.6723E-07  6.3194E-07 -7.9772E-07 
 6.0842E-07 -5.6868E-07 -8.1711E-07 
 1.3403E-07  3.2732E-07  1.7935E-07 
 2.3312E-07 -5.1585E-07  2.9165E-07 
-8.3436E+05  8.3436E+05  2.7701E+06 
-8.3436E+05 -8.3436E+05  2.7701E+06 
-8.3572E+05  8.3572E+05 -2.1379E+06 
-8.3572E+05 -8.3572E+05 -2.1379E+06 
-1.9565E+03  1.9565E+03 -6.3214E+05 
-1.9565E+03 -1.9565E+03 -6.3214E+05 

Global Reaction Force:
 0.0000E+00  0.0000E+00  2.7701E+06 
 0.0000E+00  0.0000E+00  2.7701E+06 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  2.8675E-07 
 0.0000E+00  0.0000E+00  4.1127E-07 
 0.0000E+00  0.0000E+00  2.7701E+06 
 0.0000E+00  0.0000E+00  2.7701E+06 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 

Global Residual Force:
 8.3436E+05  8.3436E+05  2.7701E+06 
 8.3436E+05 -8.3436E+05  2.7701E+06 
 8.3572E+05  8.3572E+05 -2.1379E+06 
 8.3572E+05 -8.3572E+05 -2.1379E+06 
 1.9565E+03  1.9565E+03 -6.3214E+05 
 1.9565E+03 -1.9565E+03 -6.3214E+05 
 3.6723E-07  6.3194E-07 -7.9772E-07 
 6.0842E-07 -5.6868E-07 -8.1711E-07 
 1.3403E-07  3.2732E-07  2.8675E-07 
 2.3312E-07 -5.1585E-07  4.1127E-07 
-8.3436E+05  8.3436E+05  2.7701E+06 
-8.3436E+05 -8.3436E+05  2.7701E+06 
-8.3572E+05  8.3572E+05 -2.1379E+06 
-8.3572E+05 -8.3572E+05 -2.1379E+06 
-1.9565E+03  1.9565E+03 -6.3214E+05 
-1.9565E+03 -1.9565E+03 -6.3214E+05 
s3
Global Internal Force:
 1.3525E+06  1.3525E+06  3.1133E+06 
 1.3525E+06 -1.3525E+06  3.1133E+06 
 6.8185E+05  6.8185E+05 -8.4391E+05 
 6.8185E+05 -6.8185E+05 -8.4391E+05 
-7.9339E+05 -7.9339E+05 -2.0067E+06 
-7.9339E+05  7.9339E+05 -2.0067E+06 
-1.2254E+05 -1.2254E+05 -2.6274E+05 
-1.2254E+05  1.2254E+05 -2.6274E+05 
 2.3182E-07 -7.9610E-08 -2.2052E-07 
 2.2413E-08  2.5477E-07 -4.1158E-07 
-1.3525E+06  1.3525E+06  3.1133E+06 
-1.3525E+06 -1.3525E+06  3.1133E+06 
-6.8185E+05  6.8185E+05 -8.4391E+05 
-6.8185E+05 -6.8185E+05 -8.4391E+05 
 7.9339E+05 -7.9339E+05 -2.0067E+06 
 7.9339E+05  7.9339E+05 -2.0067E+06 

Global Reaction Force:
 0.0000E+00  0.0000E+00  3.1133E+06 
 0.0000E+00  0.0000E+00  3.1133E+06 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00 -3.2792E-07 
 0.0000E+00  0.0000E+00 -5.3121E-07 
 0.0000E+00  0.0000E+00  3.1133E+06 
