2.60016e-03 1.10952e+10  -1.10940e+10 0.00000e+00 
2.62767e-03 1.15721e+10  -1.15708e+10 0.00000e+00 
2.65519e-03 1.20641e+10  -1.20629e+10 0.00000e+00 
2.68270e-03 1.25716e+10  -1.25703e+10 0.00000e+00 
2.71023e-03 1.30947e+10  -1.30934e+10 0.00000e+00 
2.73775e-03 1.36336e+10  -1.36323e+10 0.00000e+00 
2.76528e-03 1.41885e+10  -1.41871e+10 0.00000e+00 
2.79281e-03 1.47597e+10  -1.47583e+10 0.00000e+00 
2.82035e-03 1.53475e+10  -1.53460e+10 0.00000e+00 
2.84788e-03 1.59521e+10  -1.59507e+10 0.00000e+00 
2.87542e-03 1.65741e+10  -1.65726e+10 0.00000e+00 
2.90297e-03 1.72137e+10  -1.72122e+10 0.00000e+00 
2.93051e-03 1.78716e+10  -1.78700e+10 0.00000e+00 
2.95806e-03 1.85480e+10  -1.85465e+10 0.00000e+00 
2.98562e-03 1.92437e+10  -1.92421e+10 0.00000e+00 
3.01317e-03 1.99590e+10  -1.99573e+10 0.00000e+00 
3.04073e-03 2.06944e+10  -2.06928e+10 0.00000e+00 
3.06829e-03 2.14505e+10  -2.14488e+10 0.00000e+00 
3.09586e-03 2.22278e+10  -2.22260e+10 0.00000e+00 
3.12342e-03 2.30265e+10  -2.30247e+10 0.00000e+00 
3.15099e-03 2.38471e+10  -2.38453e+10 0.00000e+00 
3.17857e-03 2.46900e+10  -2.46882e+10 0.00000e+00 
3.20614e-03 2.55555e+10  -2.55536e+10 0.00000e+00 
3.23372e-03 2.64438e+10  -2.64419e+10 0.00000e+00 
3.26130e-03 2.73551e+10  -2.73532e+10 0.00000e+00 
3.28889e-03 2.82899e+10  -2.82879e+10 0.00000e+00 
3.31648e-03 2.92481e+10  -2.92461e+10 0.00000e+00 
3.34407e-03 3.02303e+10  -3.02282e+10 0.00000e+00 
3.37166e-03 3.12365e+10  -3.12344e+10 0.00000e+00 
3.39926e-03 3.22671e+10  -3.22650e+10 0.00000e+00 
3.42686e-03 3.33225e+10  -3.33204e+10 0.00000e+00 
3.45447e-03 3.44030e+10  -3.44009e+10 0.00000e+00 
3.48207e-03 3.55091e+10  -3.55070e+10 0.00000e+00 
3.50968e-03 3.66414e+10  -3.66392e+10 0.00000e+00 
3.53729e-03 3.78002e+10  -3.77980e+10 0.00000e+00 
3.56491e-03 3.89862e+10  -3.89840e+10 0.00000e+00 
3.59253e-03 4.02000e+10  -4.01977e+10 0.00000e+00 
3.62015e-03 4.14422e+10  -4.14398e+10 0.00000e+00 
3.64777e-03 4.27133e+10  -4.27109e+10 0.00000e+00 
3.67540e-03 4.40139e+10  -4.40114e+10 0.00000e+00 
3.70303e-03 4.53445e+10  -4.53421e+10 0.00000e+00 
3.73066e-03 4.67058e+10  -4.67033e+10 0.00000e+00 
3.75830e-03 4.80981e+10  -4.80956e+10 0.00000e+00 
3.78594e-03 4.95219e+10  -4.95193e+10 0.00000e+00 
3.81358e-03 5.09776e+10  -5.09750e+10 0.00000e+00 
3.84123e-03 5.24655e+10  -5.24629e+10 0.00000e+00 
3.86888e-03 5.39860e+10  -5.39833e+10 0.00000e+00 
3.89653e-03 5.55394e+10  -5.55367e+10 0.00000e+00 
