2.58325e-03 8.13102e+08  -8.13013e+08 0.00000e+00 
2.61040e-03 8.47611e+08  -8.47520e+08 0.00000e+00 
2.63755e-03 8.83240e+08  -8.83147e+08 0.00000e+00 
2.66470e-03 9.20013e+08  -9.19918e+08 0.00000e+00 
2.69185e-03 9.57951e+08  -9.57854e+08 0.00000e+00 
2.71899e-03 9.97075e+08  -9.96976e+08 0.00000e+00 
2.74614e-03 1.03741e+09  -1.03731e+09 0.00000e+00 
2.77328e-03 1.07897e+09  -1.07886e+09 0.00000e+00 
2.80043e-03 1.12177e+09  -1.12166e+09 0.00000e+00 
2.82757e-03 1.16583e+09  -1.16573e+09 0.00000e+00 
2.85471e-03 1.21118e+09  -1.21107e+09 0.00000e+00 
2.88186e-03 1.25782e+09  -1.25771e+09 0.00000e+00 
2.90900e-03 1.30578e+09  -1.30566e+09 0.00000e+00 
2.93614e-03 1.35506e+09  -1.35495e+09 0.00000e+00 
2.96328e-03 1.40570e+09  -1.40558e+09 0.00000e+00 
2.99041e-03 1.45770e+09  -1.45758e+09 0.00000e+00 
3.01755e-03 1.51109e+09  -1.51097e+09 0.00000e+00 
3.04469e-03 1.56589e+09  -1.56576e+09 0.00000e+00 
3.07182e-03 1.62212e+09  -1.62199e+09 0.00000e+00 
3.09896e-03 1.67980e+09  -1.67968e+09 0.00000e+00 
3.12609e-03 1.73897e+09  -1.73884e+09 0.00000e+00 
3.15322e-03 1.79965e+09  -1.79952e+09 0.00000e+00 
3.18035e-03 1.86187e+09  -1.86174e+09 0.00000e+00 
3.20748e-03 1.92566e+09  -1.92553e+09 0.00000e+00 
3.23461e-03 1.99106e+09  -1.99092e+09 0.00000e+00 
3.26174e-03 2.05809e+09  -2.05795e+09 0.00000e+00 
3.28887e-03 2.12680e+09  -2.12666e+09 0.00000e+00 
3.31599e-03 2.19721e+09  -2.19707e+09 0.00000e+00 
3.34312e-03 2.26937e+09  -2.26922e+09 0.00000e+00 
3.37024e-03 2.34330e+09  -2.34315e+09 0.00000e+00 
3.39737e-03 2.41905e+09  -2.41890e+09 0.00000e+00 
3.42449e-03 2.49665e+09  -2.49649e+09 0.00000e+00 
3.45161e-03 2.57613e+09  -2.57597e+09 0.00000e+00 
3.47873e-03 2.65752e+09  -2.65736e+09 0.00000e+00 
3.50585e-03 2.74086e+09  -2.74070e+09 0.00000e+00 
3.53297e-03 2.82618e+09  -2.82601e+09 0.00000e+00 
3.56009e-03 2.91350e+09  -2.91333e+09 0.00000e+00 
3.58721e-03 3.00286e+09  -3.00269e+09 0.00000e+00 
3.61433e-03 3.09428e+09  -3.09410e+09 0.00000e+00 
3.64144e-03 3.18778e+09  -3.18761e+09 0.00000e+00 
3.66856e-03 3.28340e+09  -3.28322e+09 0.00000e+00 
3.69567e-03 3.38115e+09  -3.38097e+09 0.00000e+00 
3.72279e-03 3.48106e+09  -3.48088e+09 0.00000e+00 
3.74990e-03 3.58315e+09  -3.58296e+09 0.00000e+00 
3.77701e-03 3.68745e+09  -3.68726e+09 0.00000e+00 
3.80413e-03 3.79397e+09  -3.79378e+09 0.00000e+00 
3.83124e-03 3.90275e+09  -3.90256e+09 0.00000e+00 
3.85835e-03 4.01381e+09  -4.01361e+09 0.00000e+00 
3.88546e-03 4.12717e+09  -4.12697e+09 0.00000e+00 
3.91256e-03 4.24286e+09  -4.24266e+09 0.00000e+00 
3.93967e-03 4.36092e+09  -4.36071e+09 0.00000e+00 
3.96678e-03 4.48137e+09  -4.48116e+09 0.00000e+00 
3.99388e-03 4.60424e+09  -4.60403e+09 0.00000e+00 
4.02099e-03 4.72958e+09  -4.72937e+09 0.00000e+00 
4.04809e-03 4.85741e+09  -4.85719e+09 0.00000e+00 
4.07519e-03 4.98778e+09  -4.98756e+09 0.00000e+00 
4.10229e-03 5.12072e+09  -5.12050e+09 0.00000e+00 
4.12939e-03 5.25627e+09  -5.25605e+09 0.00000e+00 
4.15649e-03 5.39449e+09  -5.39426e+09 0.00000e+00 
4.18359e-03 5.53540e+09  -5.53517e+09 0.00000e+00 
